pose,start,finish_time,goal_state
"[180, 181]",1515214998.855341,1515215000.558258,3
"[180, 182]",1515215012.567906,1515215015.57272,3
"[180, 183]",1515215027.581187,1515215030.918239,3
"[180, 184]",1515215042.928911,1515215047.267109,3
"[180, 185]",1515215059.274925,1515215065.284202,3
"[180, 186]",1515215077.293481,1515215178.644765,3
"[180, 187]",1515215190.656412,300.0,1
"[180, 188]",1515215502.668201,300.0,1
"[180, 189]",1515215814.675388,1515215838.711141,3
"[180, 190]",1515215850.717754,1515215862.398983,3
"[180, 191]",1515215874.407281,1515215889.091911,3
"[180, 192]",1515215901.100891,300.0,1
"[180, 193]",1515216213.715943,1515216229.739898,3
"[180, 194]",1515216241.747261,300.0,1
"[180, 195]",1515216553.757045,300.0,1
"[180, 196]",1515216865.766701,1515216873.778824,3
"[180, 197]",1515216885.787969,300.0,1
"[180, 198]",1515217197.795687,1515217219.226904,4
"[180, 199]",1515217231.233449,1515217252.465296,4
"[180, 200]",1515217264.4743,1515217285.73789,4
"[180, 201]",1515217297.747804,1515217319.079835,4
"[180, 202]",1515217331.087936,1515217352.519735,4
"[180, 203]",1515217364.531377,1515217368.53736,3
"[180, 204]",1515217380.546949,1515217385.555193,3
"[180, 205]",1515217397.563212,1515217402.902588,3
"[180, 206]",1515217414.909889,1515217421.250136,3
"[180, 207]",1515217433.255081,1515217440.597404,3
"[180, 208]",1515217452.607019,1515217460.618684,3
"[180, 209]",1515217472.627122,1515217481.641262,3
"[180, 210]",1515217493.65069,1515217513.680557,3
"[180, 211]",1515217525.687006,1515217546.918018,4
"[180, 212]",1515217558.927053,1515217579.621716,3
"[180, 213]",1515217591.630011,300.0,1
"[180, 214]",1515217903.640365,300.0,1
"[180, 215]",1515218215.650909,1515218236.98208,4
"[180, 216]",1515218248.987547,1515218270.249613,4
"[180, 217]",1515218282.257251,1515218286.595065,3
"[180, 218]",1515218298.60415,1515218303.943602,3
"[180, 219]",1515218315.951892,1515218321.960895,3
"[180, 220]",1515218333.965511,1515218340.638893,3
"[180, 221]",1515218352.646775,1515218359.989356,3
"[180, 222]",1515218371.996837,1515218380.340163,3
"[180, 223]",1515218392.349504,1515218402.027196,3
"[180, 224]",1515218414.039018,300.0,1
"[180, 225]",1515218726.049315,1515218747.412511,4
"[180, 226]",1515218759.422996,1515218781.456187,3
"[180, 227]",1515218793.465021,1515218816.162336,3
"[180, 228]",1515218828.173022,1515218869.840898,3
"[180, 229]",1515218881.849712,1515218903.112713,4
"[180, 230]",1515218915.120816,1515218936.484833,4
"[180, 231]",1515218948.49041,1515218954.831799,3
"[180, 232]",1515218966.842549,1515218972.851527,3
"[180, 233]",1515218984.857535,1515218991.530497,3
"[180, 234]",1515219003.535247,1515219010.878013,3
"[180, 235]",1515219022.884053,1515219030.896337,3
"[180, 236]",1515219042.90465,1515219051.580204,3
"[180, 237]",1515219063.586947,1515219072.932274,3
"[180, 238]",1515219084.936626,300.0,1
"[180, 239]",1515219396.945231,1515219406.658496,4
"[180, 240]",1515219418.667018,1515219440.002162,3
"[180, 241]",1515219452.010011,1515219474.345075,3
"[180, 242]",1515219486.351459,1515219511.387908,3
"[180, 243]",1515219523.397023,1515219544.828029,4
"[180, 244]",1515219556.839671,1515219578.172037,4
"[180, 245]",1515219590.177834,1515219596.852037,3
"[180, 246]",1515219608.857007,1515219615.867261,3
"[180, 247]",1515219627.875028,1515219634.885872,3
"[180, 248]",1515219646.893499,1515219654.235584,3
"[180, 249]",1515219666.243026,1515219674.587406,3
"[180, 250]",1515219686.599044,1515219695.611971,3
"[180, 251]",1515219707.622412,1515219717.637865,3
"[180, 252]",1515219729.647038,300.0,1
"[180, 253]",1515220041.661035,1515220051.405427,4
"[180, 254]",1515220063.414096,1515220085.750278,3
"[180, 255]",1515220097.759019,1515220125.762889,3
"[180, 256]",1515220137.773113,1515220159.46917,3
"[180, 257]",1515220171.475744,300.0,1
"[180, 258]",1515220483.481248,1515220504.812717,4
"[180, 259]",1515220516.819364,1515220526.834275,3
"[180, 260]",1515220538.844682,1515220546.519368,3
"[180, 261]",1515220558.52692,1515220566.538903,3
"[180, 262]",1515220578.549316,1515220586.893067,3
"[180, 263]",1515220598.899257,1515220607.912514,3
"[180, 264]",1515220619.924769,1515220629.269844,3
"[180, 265]",1515220641.27902,1515220651.29468,3
"[180, 266]",1515220663.301684,300.0,1
"[180, 267]",1515220975.310956,1515220984.955451,4
"[180, 268]",1515220996.963675,1515221024.304829,3
"[180, 269]",1515221036.313383,1515221062.315183,3
"[180, 270]",1515221074.322673,1515221107.670663,3
"[180, 271]",1515221120.272669,1515221141.503036,4
"[180, 272]",1515221153.513039,1515221163.126544,4
"[180, 273]",1515221175.135042,1515221183.479036,3
"[180, 274]",1515221195.492338,1515221204.168729,3
"[180, 275]",1515221216.17781,1515221225.192069,3
"[180, 276]",1515221237.201196,1515221246.215209,3
"[180, 277]",1515221258.22591,1515221268.240829,3
"[180, 278]",1515221280.252504,1515221290.267456,3
"[180, 279]",1515221302.273341,1515221312.620774,3
"[180, 280]",1515221324.631639,300.0,1
"[180, 281]",1515221636.63944,1515221645.815457,4
"[180, 282]",1515221657.824267,1515221682.160828,3
"[180, 283]",1515221694.170672,1515221714.199276,3
"[180, 284]",1515221726.207752,1515221830.560498,3
"[180, 285]",1515221842.568828,300.0,1
"[180, 286]",1515222154.579874,1515222164.12475,4
"[180, 287]",1515222176.131882,1515222185.477155,3
"[180, 288]",1515222197.485014,1515222206.830554,3
"[180, 289]",1515222218.837996,1515222228.183901,3
"[180, 290]",1515222240.192468,1515222249.870303,3
"[180, 291]",1515222261.879331,1515222271.894653,3
"[180, 292]",1515222283.902875,1515222294.248112,3
"[180, 293]",1515222306.537067,1515222318.555727,3
"[180, 294]",1515222330.56301,300.0,1
"[180, 295]",1515222642.574776,1515222652.119591,4
"[180, 296]",1515222664.125777,1515222683.46218,3
"[180, 297]",1515222695.473435,1515222714.165551,3
"[180, 298]",1515222726.172193,1515222788.180674,3
"[180, 299]",1515222800.190635,1515222825.859342,3
"[180, 300]",1515222837.870071,1515222847.583724,4
"[180, 301]",1515222859.592437,1515222878.927773,3
"[180, 302]",1515222890.937249,1515222901.284098,3
"[180, 303]",1515222913.292415,1515222923.638706,3
"[180, 304]",1515222935.647029,1515222946.326278,3
"[180, 305]",1515222958.332216,1515222969.349424,3
"[180, 306]",1515222981.359013,1515222992.707116,3
"[180, 307]",1515223004.717048,1515223017.065965,3
"[180, 308]",1515223029.075765,1515223043.761654,3
"[180, 309]",1515223055.768812,1515223077.131692,4
"[180, 310]",1515223089.139559,1515223105.827966,3
"[180, 311]",1515223117.839049,1515223134.178472,3
"[180, 312]",1515223146.185052,1515223170.520569,3
"[180, 313]",1515223182.52993,1515223218.197958,3
"[180, 314]",1515223230.20542,1515223239.918396,4
"[180, 315]",1515223251.92793,1515223273.292061,4
"[180, 316]",1515223285.299121,1515223302.63928,3
"[180, 317]",1515223314.64916,1515223339.317397,3
"[180, 318]",1515223351.325272,1515223367.01194,3
"[180, 319]",1515223379.021222,1515223393.042123,3
"[180, 320]",1515223405.051612,1515223416.067755,3
"[180, 321]",1515223428.076911,1515223439.758461,3
"[180, 322]",1515223451.766642,1515223463.447951,3
"[180, 323]",1515223475.455193,1515223487.135435,3
"[180, 324]",1515223499.144363,1515223510.824693,3
"[180, 325]",1515223522.83259,1515223534.850634,3
"[180, 326]",1515223546.859045,1515223559.54105,3
"[180, 327]",1515223571.549823,1515223584.569087,3
"[180, 328]",1515223596.577671,1515223611.263152,3
"[180, 329]",1515223623.27427,1515223638.961564,3
"[180, 330]",1515223650.971087,1515223667.996972,3
"[180, 331]",1515223680.005824,1515223697.695034,3
"[180, 332]",1515223709.707312,1515223753.376938,3
"[180, 333]",1515223765.387012,1515223797.396489,3
"[180, 334]",1515223809.404209,1515223824.08815,3
"[180, 335]",1515223836.09354,1515223849.112626,3
"[180, 336]",1515223861.123064,1515223873.805548,3
"[180, 337]",1515223885.815076,1515223897.163453,3
"[180, 338]",1515223909.171087,1515223920.852757,3
"[180, 339]",1515223932.863014,1515223944.543823,3
"[180, 340]",1515223956.55419,1515223968.57134,3
"[180, 341]",1515223980.579613,1515223992.913923,3
"[180, 342]",1515224004.924593,1515224017.273939,3
"[180, 343]",1515224029.283312,1515224042.302983,3
"[180, 344]",1515224054.310068,1515224067.644739,3
"[180, 345]",1515224079.651443,1515224092.987263,3
"[180, 346]",1515224104.996987,1515224119.33346,3
"[180, 347]",1515224131.342479,1515224148.03092,3
"[180, 348]",1515224160.043017,1515224177.383868,3
"[180, 349]",1515224189.391882,1515224206.732029,3
"[180, 350]",1515224218.745173,1515224242.443381,3
"[180, 351]",1515224254.452089,1515224270.791115,3
"[180, 352]",1515224282.799624,1515224297.135345,3
"[180, 353]",1515224309.144117,1515224331.840915,3
"[180, 354]",1515224343.850683,1515224377.200015,3
"[180, 355]",1515224389.210948,1515224402.229899,3
"[180, 356]",1515224414.241802,1515224426.923907,3
"[180, 357]",1515224438.930209,1515224451.612626,3
"[180, 358]",1515224463.623183,1515224476.958643,3
"[180, 359]",1515224488.968966,1515224501.989135,3
"[180, 360]",1515224513.999015,1515224527.68254,3
"[180, 361]",1515224539.692399,1515224553.712913,3
"[180, 362]",1515224565.721197,1515224579.40505,3
"[180, 363]",1515224591.412877,1515224605.749576,3
"[180, 364]",1515224617.759,1515224632.78007,3
"[180, 365]",1515224644.789029,1515224660.475027,3
"[180, 366]",1515224672.485316,1515224690.174884,3
"[180, 367]",1515224702.184466,1515224722.212739,3
"[180, 368]",1515224734.221436,300.0,1
"[180, 369]",1515225046.231872,1515225055.876964,4
"[180, 370]",1515225067.884586,300.0,1
"[180, 371]",1515225379.891348,1515225394.913896,3
"[180, 372]",1515225406.922339,1515225455.257738,3
"[180, 373]",1515225467.264927,1515225529.617764,3
"[180, 374]",1515225541.625955,1515225562.961299,3
"[180, 375]",1515225574.971016,1515225588.306766,3
"[180, 376]",1515225600.313172,1515225613.647689,3
"[180, 377]",1515225625.656842,1515225639.340351,3
"[180, 378]",1515225651.349228,1515225665.033025,3
"[180, 379]",1515225677.041457,1515225691.377739,3
"[180, 380]",1515225703.388754,1515225718.726444,3
"[180, 381]",1515225730.733456,1515225745.419047,3
"[180, 382]",1515225757.425347,1515225772.7635,3
"[180, 383]",1515225784.774522,1515225800.113353,3
"[180, 384]",1515225812.121615,1515225828.460718,3
"[180, 385]",1515225840.46937,1515225858.159458,3
"[180, 386]",1515225870.170014,1515225879.446767,4
"[180, 387]",1515225891.451131,1515225901.065011,4
"[180, 388]",1515225913.075543,1515225922.721035,4
"[180, 389]",1515225934.731034,1515225983.101545,3
"[180, 390]",1515225995.108207,300.0,1
"[180, 391]",1515226307.115703,1515226332.152383,3
"[180, 392]",1515226344.16106,1515226365.425149,4
"[180, 393]",1515226377.431006,1515226400.12781,3
"[180, 394]",1515226412.134741,300.0,1
"[180, 395]",1515226724.145969,1515226741.486114,3
"[180, 396]",1515226753.495328,1515226804.833275,3
"[180, 397]",1515226816.84015,1515226831.863325,3
"[180, 398]",1515226843.871644,1515226857.893454,3
"[180, 399]",1515226869.900642,1515226884.584801,3
"[180, 400]",1515226896.595024,1515226910.931127,3
"[180, 401]",1515226922.940608,1515226937.276341,3
"[180, 402]",1515226949.282741,1515226965.30605,3
"[180, 403]",1515226977.313784,1515226993.000462,3
"[180, 404]",1515227005.006529,1515227020.34407,3
"[180, 405]",1515227032.350529,1515227047.688598,3
"[180, 406]",1515227059.697543,1515227075.034838,3
"[180, 407]",1515227087.045932,1515227102.73303,3
"[180, 408]",1515227114.741866,1515227131.429808,3
"[180, 409]",1515227143.439032,1515227160.127235,3
"[180, 410]",1515227172.134614,300.0,1
"[180, 411]",1515227484.14441,1515227493.788899,4
"[180, 412]",1515227505.799036,1515227515.511907,4
"[180, 413]",1515227527.518988,1515227582.531269,3
"[180, 414]",1515227594.539505,1515227619.876893,3
"[180, 415]",1515227631.882832,1515227656.919225,3
"[180, 416]",1515227668.928079,1515227690.259506,4
"[180, 417]",1515227702.267027,300.0,1
"[180, 418]",1515228014.277486,1515228032.304998,3
"[180, 419]",1515228044.314605,1515228061.00394,3
"[180, 420]",1515228073.012993,1515228089.037117,3
"[180, 421]",1515228101.046702,1515228125.081529,3
"[180, 422]",1515228137.089332,1515228161.12462,3
"[180, 423]",1515228173.131034,1515228188.817501,3
"[180, 424]",1515228200.82724,1515228216.513153,3
"[180, 425]",1515228228.522583,1515228244.546976,3
"[180, 426]",1515228256.552929,1515228277.98433,4
"[180, 427]",1515228289.991734,1515228311.353325,4
"[180, 428]",1515228323.361169,1515228351.03378,3
"[180, 429]",1515228363.041672,1515228379.379237,3
"[180, 430]",1515228391.389539,1515228408.078079,3
"[180, 431]",1515228420.086266,1515228437.427437,3
"[180, 432]",1515228449.436892,1515228475.775163,3
"[180, 433]",1515228487.783331,1515228509.213702,4
"[180, 434]",1515228521.221418,1515228542.553962,4
"[180, 435]",1515228554.561736,1515228563.838164,4
"[180, 436]",1515228575.849103,1515228585.493734,4
"[180, 437]",1515228597.503965,300.0,1
"[180, 438]",1515228909.515029,1515228939.859991,3
"[180, 439]",1515228951.867009,1515228977.205505,3
"[180, 440]",1515228989.21386,1515229011.548216,3
"[180, 441]",1515229023.555257,1515229045.889769,3
"[180, 442]",1515229057.898138,1515229077.232608,3
"[180, 443]",1515229089.240122,1515229116.241919,3
"[180, 444]",1515229128.252508,1515229145.593016,3
"[180, 445]",1515229157.603536,1515229184.274408,3
"[180, 446]",1515229196.283952,1515229213.308781,3
"[180, 447]",1515229225.315465,1515229241.339344,3
"[180, 448]",1515229253.347206,1515229269.033216,3
"[180, 449]",1515229281.043056,1515229299.069571,3
"[180, 450]",1515229311.079382,1515229331.773489,3
"[180, 451]",1515229343.781181,1515229362.115604,3
"[180, 452]",1515229374.124999,1515229391.465912,3
"[180, 453]",1515229403.475005,1515229421.165283,3
"[180, 454]",1515229433.17509,1515229452.512275,3
"[180, 455]",1515229464.519004,1515229485.781923,4
"[180, 456]",1515229497.789309,1515229535.458492,3
"[180, 457]",1515229547.467001,1515229578.475852,3
"[180, 458]",1515229590.483768,1515229612.517432,3
"[180, 459]",1515229624.527868,1515229672.86267,3
"[180, 460]",1515229684.869041,1515229722.539199,3
"[180, 461]",1515229734.548372,1515229772.220203,3
"[180, 462]",1515229784.229986,1515229802.921564,3
"[180, 463]",1515229814.932276,1515229832.959523,3
"[180, 464]",1515229844.970641,1515229870.308408,3
"[180, 465]",1515229882.317138,1515229899.65794,3
"[180, 466]",1515229911.66753,1515229928.693256,3
"[180, 467]",1515229940.704605,1515229957.728883,3
"[180, 468]",1515229969.74009,1515229986.427797,3
"[180, 469]",1515229998.438055,1515230017.128605,3
"[180, 470]",1515230029.139822,1515230054.176505,3
"[180, 471]",1515230066.183008,300.0,1
"[180, 472]",1515230378.195016,300.0,1
"[180, 473]",1515230690.207796,300.0,1
"[180, 474]",1515231002.221621,1515231029.893204,3
"[180, 475]",1515231041.899741,1515231051.643868,4
"[180, 476]",1515231063.651613,1515231084.882714,4
"[180, 477]",1515231096.892406,1515231130.905153,3
"[180, 478]",1515231142.91639,1515231172.259424,3
"[180, 479]",1515231184.26961,1515231208.938117,3
"[180, 480]",1515231220.947013,1515231241.641767,3
"[180, 481]",1515231253.650736,1515231279.321045,3
"[180, 482]",1515231291.330715,1515231315.666774,3
"[180, 483]",1515231327.672005,300.0,1
"[180, 484]",1515231639.678494,300.0,1
"[180, 485]",1515231951.688914,300.0,1
"[180, 486]",1515232263.698718,1515232298.712675,3
"[180, 487]",1515232310.725785,1515232468.065169,3
"[180, 488]",1515232480.073283,1515232509.078892,3
"[180, 489]",1515232521.087585,1515232538.777048,3
"[180, 490]",1515232550.786567,1515232583.79924,3
"[180, 491]",1515232595.808489,1515232616.502752,3
"[180, 492]",1515232628.510994,1515232648.539895,3
"[180, 493]",1515232660.547022,1515232670.261537,4
"[180, 494]",1515232682.27175,1515232691.986363,4
"[180, 495]",1515232703.993816,1515232713.639054,4
"[180, 496]",1515232725.648245,1515232735.293661,4
"[180, 497]",1515232747.302002,1515232756.914988,4
"[180, 498]",1515232768.924377,1515232778.569478,4
"[180, 499]",1515232790.577957,1515232811.909393,4
"[180, 500]",1515232823.919078,1515232854.595294,3
"[180, 501]",1515232866.606513,1515232890.304397,3
