pose,start,finish_time,goal_state
350,1514827320.203359,300.0,1
351,1514844341.138635,300.0,1
352,1514856602.294199,1514856633.310885,3
353,1514869716.507236,1514869791.543072,3
354,1514882909.666424,1514882929.703227,3
355,1514896260.789911,1514896282.126615,3
356,1514909679.327537,1514909696.022382,3
357,1514924129.066149,1514924145.401037,3
358,1514936955.768287,1514936975.102989,3
359,1514951209.283538,1514951227.619659,3
360,1514965085.641314,1514965103.337483,3
361,1514979222.832279,1514979239.169523,3
362,1514993206.578735,1514993223.91527,3
363,1515007721.864252,1515007740.199099,3
364,1515024425.803361,1515024444.138323,3
365,1515041508.921708,1515041527.621188,3
366,1515059497.643982,1515059517.980267,3
367,1515079107.645141,1515079140.00201,3
368,1515096327.861141,300.0,1
369,1515112904.827927,1515112929.464112,4
369,1515117484.467615,1515117509.205009,4
370,1515124255.663254,300.0,1
371,1515137003.460116,1515137033.127994,3
372,1515149596.002258,1515149687.371353,3
373,1515162559.060459,1515162588.07496,3
374,1515175936.540578,1515175956.237692,3
375,1515189442.286117,1515189460.318685,3
376,1515202063.063332,1515202080.088098,3
377,1515215607.779246,1515215625.809759,3
378,1515228791.923124,1515228808.616918,3
379,1515242500.381308,1515242520.077744,3
380,1515256543.036691,1515256561.067948,3
381,1515270621.541947,1515270641.878017,3
382,1515286396.555208,1515286414.889514,3
383,1515303954.289807,1515303972.631704,3
384,1515323823.174454,1515323843.511053,3
385,1515341742.583702,1515341762.616465,3
386,1515357503.078502,1515357527.718948,4
387,1515373839.342305,1515373864.038753,4
388,1515382572.859737,1515382597.494574,4
389,1515391265.050172,300.0,1
390,1515402625.105553,300.0,1
391,1515414215.605133,1515414306.278947,3
392,1515425263.842089,1515425285.145614,4
393,1515436229.801666,1515436260.152658,3
394,1515449239.821954,300.0,1
395,1515462943.557654,1515462962.59251,3
396,1515474165.264001,1515474185.963232,3
397,1515485248.767468,1515485269.105311,3
398,1515497275.263189,1515497301.61182,3
399,1515508128.44842,1515508151.119139,3
400,1515519750.885614,1515519772.889442,3
401,1515530894.400533,1515530912.736035,3
402,1515541858.462107,1515541895.822077,3
403,1515553976.968599,1515553998.303948,3
