pose,start,finish_time,goal_state
"[652, 0]",1515854644.436755,1515854665.786397,4
"[652, 1]",1515854677.79677,1515854699.143261,4
"[652, 2]",1515854711.154107,1515854732.503111,4
"[652, 3]",1515854744.51274,1515854765.86181,4
"[652, 4]",1515854777.869215,1515854799.217848,4
"[652, 5]",1515854811.228573,1515854832.576328,4
"[652, 6]",1515854844.584389,1515854865.595463,4
"[652, 7]",1515854877.601176,1515854898.95068,4
"[652, 8]",1515854910.96243,1515854932.312005,4
"[652, 9]",1515854944.3195,1515854965.667817,4
"[652, 10]",1515854977.676318,1515854999.024538,4
"[652, 11]",1515855011.033905,1515855032.3815,4
"[652, 12]",1515855044.388589,1515855065.738428,4
"[652, 13]",1515855077.746058,1515855099.095479,4
"[652, 14]",1515855111.105294,1515855132.454151,4
"[652, 15]",1515855144.464046,1515855165.813483,4
"[652, 16]",1515855177.824483,1515855199.173159,4
"[652, 17]",1515855211.182078,1515855232.531582,4
"[652, 18]",1515855244.539489,1515855265.888427,4
"[652, 19]",1515855277.897927,1515855299.247072,4
"[652, 20]",1515855311.258099,1515855332.604642,4
"[652, 21]",1515855344.614086,1515855365.962244,4
"[652, 22]",1515855377.974424,1515855399.322545,4
"[652, 23]",1515855411.332787,1515855432.682083,4
"[652, 24]",1515855444.694546,1515855466.043222,4
"[652, 25]",1515855478.052201,1515855499.40316,4
"[652, 26]",1515855511.414089,1515855532.762798,4
"[652, 27]",1515855544.774602,1515855566.123511,4
"[652, 28]",1515855578.131903,1515855599.480124,4
"[652, 29]",1515855611.490847,1515855632.839083,4
"[652, 30]",1515855644.845871,1515855666.194622,4
"[652, 31]",1515855678.205983,1515855699.554162,4
"[652, 32]",1515855711.562522,1515855732.910599,4
"[652, 33]",1515855744.918405,1515855766.266991,4
"[652, 34]",1515855778.275673,1515855799.624803,4
"[652, 35]",1515855811.635317,1515855832.984104,4
"[652, 36]",1515855844.994328,1515855866.342528,4
"[652, 37]",1515855878.351758,1515855899.700046,4
"[652, 38]",1515855911.710079,1515855933.058865,4
"[652, 39]",1515855945.067181,1515855966.416781,4
"[652, 40]",1515855978.424939,1515855999.774028,4
"[652, 41]",1515856011.782502,1515856033.129748,4
