pose,start,finish_time,goal_state
500,1515214436.427425,1515214472.449613,3
501,1515220136.435033,1515220174.105076,3
502,1515225944.450686,1515226010.144823,3
503,1515231879.97597,1515231915.644529,3
504,1515237032.121374,1515237053.485778,4
505,1515242967.14052,1515242976.753979,4
506,1515245732.779164,1515245742.324296,4
507,1515248472.392975,1515248482.006591,4
508,1515251248.894447,1515251258.207728,4
509,1515253981.865146,1515253991.579331,4
510,1515256729.350986,1515256750.683252,4
511,1515260759.598464,1515260780.936679,3
512,1515266925.4206,1515266952.76111,3
513,1515272453.209787,1515272479.211018,3
514,1515278079.912636,1515278101.244535,4
515,1515283354.587008,1515283364.232297,4
516,1515286400.934974,1515286444.603062,3
517,1515290897.787109,1515290939.455181,3
518,1515296031.501477,1515296100.204171,3
519,1515301424.229314,1515301463.903337,3
520,1515306774.875824,1515306796.139184,4
521,1515312101.970281,1515312111.583753,4
522,1515314531.157441,1515314540.902402,4
523,1515317599.428629,1515317609.074281,4
524,1515320362.921445,1515320372.466277,4
525,1515323409.011814,1515323418.625201,4
526,1515325740.632168,1515325761.963466,4
527,1515328755.072057,1515328781.074441,3
528,1515333688.021178,1515333719.029806,3
529,1515338443.424856,1515338469.09353,3
530,1515343526.916898,1515343548.147511,4
531,1515348112.204886,1515348121.849667,4
532,1515350873.910984,1515350895.242387,4
533,1515353865.979289,1515353893.983706,3
534,1515358512.58928,1515358566.932586,3
535,1515362688.749759,1515362735.118117,3
536,1515367337.128206,1515367358.359591,4
537,1515371700.459825,1515371710.104627,4
538,1515373797.304164,1515373806.616944,4
539,1515376217.505601,1515376227.149804,4
540,1515378621.814993,1515378631.428501,4
541,1515381013.522191,1515381023.135965,4
542,1515383015.158081,1515383036.489419,4
543,1515385606.643895,1515385657.982123,3
544,1515390067.685107,1515390091.019492,3
545,1515394249.858112,1515394277.863,3
546,1515398409.048412,1515398430.380102,4
547,1515403218.930982,1515403240.26135,4
548,1515405642.488909,1515405679.843472,3
549,1515409265.510984,1515409309.878595,3
550,1515413914.99703,1515413956.66482,3
551,1515417776.848044,1515417798.282259,4
552,1515421381.751969,1515421391.365214,4
