pose,start,finish_time,goal_state
"[630, 631]",1514868784.005529,1514868808.008709,4
"[630, 632]",1514868820.018401,1514868847.325118,4
"[630, 633]",1514868859.335286,1514868886.687295,4
"[630, 634]",1514868898.699018,1514868925.957337,4
"[630, 635]",1514868937.964223,1514868965.223988,4
"[630, 636]",1514868977.233733,1514868983.574075,4
"[630, 637]",1514868995.586229,1514869001.927028,4
"[630, 638]",1514869013.9393,1514869020.280088,4
"[630, 639]",1514869032.290796,1514869059.598999,4
"[630, 640]",1514869071.607413,1514869095.279037,4
"[630, 641]",1514869107.292355,1514869134.451117,4
"[630, 642]",1514869146.459349,1514869152.800082,4
"[630, 643]",1514869164.806793,1514869192.165681,4
"[630, 644]",1514869204.177486,1514869228.180209,4
"[630, 645]",1514869240.189122,1514869264.190446,4
"[630, 646]",1514869276.1996,1514869282.54059,4
"[630, 647]",1514869294.553169,1514869318.55543,4
"[630, 648]",1514869330.56304,1514869357.870046,4
"[630, 649]",1514869369.881482,1514869393.882938,4
"[631, 632]",1514869446.951036,1514869476.660588,4
"[631, 633]",1514869488.672465,1514869515.014719,4
"[631, 634]",1514869527.025227,1514869556.97117,4
"[631, 635]",1514869568.977574,1514869598.923659,4
"[631, 636]",1514869610.933333,1514869617.273317,4
"[631, 637]",1514869629.281608,1514869635.621538,4
"[631, 638]",1514869647.631075,1514869653.971192,4
"[631, 639]",1514869665.980158,1514869695.857589,4
"[631, 640]",1514869707.869202,1514869737.815516,4
"[631, 641]",1514869749.827298,1514869776.167993,4
"[631, 642]",1514869788.179358,1514869794.519348,4
"[631, 643]",1514869806.52613,1514869836.472549,4
"[631, 644]",1514869848.479902,1514869874.821363,4
"[631, 645]",1514869886.82911,1514869916.706544,4
"[631, 646]",1514869928.713992,1514869935.053886,4
"[631, 647]",1514869947.065176,1514869977.012922,4
"[631, 648]",1514869989.022483,1514870015.364047,4
"[631, 649]",1514870027.37315,1514870053.715053,4
"[632, 632]",1514870117.298302,1514870117.999874,3
"[632, 633]",1514870130.010076,1514870157.68513,4
"[632, 634]",1514870169.697859,1514870197.041965,4
"[632, 635]",1514870209.051859,1514870236.39508,4
"[632, 636]",1514870248.405,1514870254.745557,4
"[632, 637]",1514870266.757944,1514870273.09816,4
"[632, 638]",1514870285.111295,1514870291.451067,4
"[632, 639]",1514870303.461538,1514870330.805363,4
"[632, 640]",1514870342.81283,1514870370.156611,4
"[632, 641]",1514870382.168124,1514870409.844902,4
"[632, 642]",1514870421.853491,1514870428.194063,4
"[632, 643]",1514870440.205969,1514870467.880256,4
"[632, 644]",1514870479.889217,1514870507.564212,4
"[632, 645]",1514870519.571027,1514870547.2479,4
"[632, 646]",1514870559.257186,1514870565.597605,4
"[632, 647]",1514870577.606562,1514870605.279378,4
"[632, 648]",1514870617.29011,1514870644.964428,4
"[632, 649]",1514870656.972474,1514870684.315325,4
"[633, 632]",1514870738.882708,1514870741.217971,3
"[633, 633]",1514870753.223721,1514870753.925315,3
"[633, 634]",1514870765.93524,1514870793.610141,4
"[633, 635]",1514870805.620846,1514870832.964409,4
"[633, 636]",1514870844.968836,1514870851.309169,4
"[633, 637]",1514870863.319047,1514870869.659259,4
"[633, 638]",1514870881.668887,1514870888.009202,4
"[633, 639]",1514870900.019121,1514870927.69399,4
"[633, 640]",1514870939.702847,1514870967.045534,4
"[633, 641]",1514870979.05217,1514871006.728261,4
"[633, 642]",1514871018.738272,1514871025.078901,4
"[633, 643]",1514871037.090638,1514871064.764838,4
"[633, 644]",1514871076.777178,1514871104.12202,4
"[633, 645]",1514871116.131362,1514871143.474619,4
"[633, 646]",1514871155.485684,1514871161.826078,4
"[633, 647]",1514871173.837197,1514871201.180806,4
"[633, 648]",1514871213.191887,1514871240.867925,4
"[633, 649]",1514871252.878377,1514871280.222413,4
"[634, 632]",1514871333.287073,1514871338.296075,3
"[634, 633]",1514871350.305224,1514871352.641212,3
"[634, 634]",1514871364.650818,1514871365.352454,3
"[634, 635]",1514871377.361998,1514871411.717355,4
"[634, 636]",1514871423.727894,1514871430.068292,4
"[634, 637]",1514871442.077234,1514871448.417662,4
"[634, 638]",1514871460.428118,1514871466.767994,4
"[634, 639]",1514871478.775674,1514871516.465523,4
"[634, 640]",1514871528.471577,1514871566.230983,4
"[634, 641]",1514871578.239146,1514871616.214096,4
"[634, 642]",1514871628.223041,1514871634.563399,4
"[634, 643]",1514871646.572121,1514871684.130616,4
"[634, 644]",1514871696.140908,1514871733.632933,4
"[634, 645]",1514871745.643115,1514871783.23556,4
"[634, 646]",1514871795.245429,1514871801.58564,4
"[634, 647]",1514871813.59212,1514871851.284485,4
"[634, 648]",1514871863.294433,1514871897.649729,4
"[634, 649]",1514871909.659012,1514871947.219611,4
"[635, 632]",1514871996.846079,1514872004.190023,3
"[635, 633]",1514872016.199922,1514872020.871186,3
"[635, 634]",1514872032.879255,1514872035.215041,3
"[635, 635]",1514872047.225355,1514872047.926795,3
"[635, 636]",1514872059.936865,1514872066.277025,4
"[635, 637]",1514872078.287367,1514872084.627464,4
"[635, 638]",1514872096.635005,1514872102.975117,4
"[635, 639]",1514872114.9843,1514872154.953991,4
"[635, 640]",1514872166.96305,1514872207.226061,4
"[635, 641]",1514872219.237152,1514872259.56252,4
"[635, 642]",1514872271.571082,1514872277.91126,4
"[635, 643]",1514872289.919223,1514872326.591373,4
"[635, 644]",1514872338.599775,1514872375.274121,4
"[635, 645]",1514872387.284829,1514872423.957632,4
"[635, 646]",1514872435.969214,1514872442.309441,4
"[635, 647]",1514872454.322747,1514872494.249014,4
"[635, 648]",1514872506.25721,1514872542.930372,4
"[635, 649]",1514872554.942266,1514872595.269009,4
"[636, 632]",1514872628.832437,1514872635.172573,4
"[636, 633]",1514872647.179996,1514872653.520194,4
"[636, 634]",1514872665.528449,1514872671.868708,4
"[636, 635]",1514872683.880271,1514872690.220204,4
"[636, 636]",1514872702.22907,1514872702.930883,3
"[636, 637]",1514872714.94125,1514872721.281467,4
"[636, 638]",1514872733.293879,1514872739.634284,4
"[636, 639]",1514872751.643609,1514872757.984037,4
"[636, 640]",1514872769.993784,1514872776.333995,4
"[636, 641]",1514872788.457719,1514872794.79791,4
"[636, 642]",1514872806.809641,1514872812.817855,4
"[636, 643]",1514872824.829647,1514872831.169764,4
"[636, 644]",1514872843.178683,1514872849.519073,4
"[636, 645]",1514872861.531037,1514872867.870941,4
"[636, 646]",1514872879.881055,1514872886.221153,4
"[636, 647]",1514872898.620925,1514872904.960864,4
"[636, 648]",1514872916.972452,1514872923.31245,4
"[636, 649]",1514872935.321445,1514872941.661428,4
"[637, 632]",1514872975.321999,1514872981.661803,4
"[637, 633]",1514872993.671024,1514873000.011046,4
"[637, 634]",1514873012.022842,1514873018.3634,4
"[637, 635]",1514873030.373532,1514873036.714185,4
"[637, 636]",1514873048.725873,1514873055.065922,4
"[637, 637]",1514873067.077318,1514873067.778753,3
"[637, 638]",1514873079.787027,1514873086.127462,4
"[637, 639]",1514873098.135044,1514873104.47519,4
"[637, 640]",1514873116.484634,1514873122.824985,4
"[637, 641]",1514873134.833606,1514873141.173636,4
"[637, 642]",1514873153.18416,1514873159.524234,4
"[637, 643]",1514873171.537133,1514873177.876959,4
"[637, 644]",1514873189.88446,1514873196.224522,4
"[637, 645]",1514873208.235147,1514873214.574887,4
"[637, 646]",1514873226.583853,1514873232.923954,4
"[637, 647]",1514873244.934196,1514873251.27399,4
"[637, 648]",1514873263.284535,1514873269.624531,4
"[637, 649]",1514873281.63277,1514873287.972937,4
"[638, 632]",1514873321.60528,1514873336.292126,3
"[638, 633]",1514873348.301316,1514873360.637299,3
"[638, 634]",1514873372.650456,1514873382.666863,3
"[638, 635]",1514873394.676484,1514873402.020613,3
"[638, 636]",1514873414.030225,1514873420.370538,4
"[638, 637]",1514873432.37997,1514873438.72004,4
"[638, 638]",1514873450.730884,1514873451.432423,3
"[638, 639]",1514873463.441832,1514873502.111144,4
"[638, 640]",1514873514.121059,1514873552.481121,4
"[638, 641]",1514873564.488667,1514873602.850769,4
"[638, 642]",1514873614.86121,1514873621.201251,4
"[638, 643]",1514873633.210017,1514873671.570572,4
"[638, 644]",1514873683.581554,1514873728.251556,4
"[638, 645]",1514873740.261286,1514873788.538663,4
"[638, 646]",1514873800.549456,1514873806.889618,4
"[638, 647]",1514873818.901276,1514873857.261699,4
"[638, 648]",1514873869.27292,1514873907.634633,4
"[638, 649]",1514873919.641372,1514873958.004585,4
"[639, 632]",1514874016.040376,1514874037.47553,4
"[639, 633]",1514874049.487022,1514874070.822118,4
"[639, 634]",1514874082.831229,1514874104.16602,4
"[639, 635]",1514874116.175945,1514874137.612111,4
"[639, 636]",1514874149.625236,1514874159.338194,4
"[639, 637]",1514874171.346773,1514874180.992443,4
"[639, 638]",1514874193.003447,1514874202.648391,4
"[639, 639]",1514874214.659008,1514874215.360292,3
"[639, 640]",1514874227.369683,1514874236.047739,3
"[639, 641]",1514874248.059334,1514874269.293965,4
"[639, 642]",1514874281.30423,1514874291.017843,4
"[639, 643]",1514874303.027042,1514874306.363837,3
"[639, 644]",1514874318.370805,1514874326.384387,3
"[639, 645]",1514874338.394397,1514874359.729142,4
"[639, 646]",1514874371.735033,1514874381.279907,4
"[639, 647]",1514874393.289563,300.0,1
"[639, 648]",1514874705.300888,300.0,1
"[639, 649]",1514875017.312492,1514875038.647439,4
"[640, 632]",1514875083.93939,1514875105.206749,4
"[640, 633]",1514875117.217594,1514875138.552076,4
"[640, 634]",1514875150.560045,1514875171.796121,4
"[640, 635]",1514875183.807818,1514875205.142356,4
"[640, 636]",1514875217.15104,1514875226.79576,4
"[640, 637]",1514875238.807324,1514875248.420538,4
"[640, 638]",1514875260.43117,1514875270.175799,4
"[640, 639]",1514875282.185258,1514875287.858754,3
"[640, 640]",1514875299.868864,1514875300.570262,3
"[640, 641]",1514875312.577793,1514875333.845415,4
"[640, 642]",1514875345.85208,1514875355.497743,4
"[640, 643]",1514875367.507432,1514875373.178899,3
"[640, 644]",1514875385.184791,1514875391.526093,3
"[640, 645]",1514875403.531842,1514875424.866757,4
"[640, 646]",1514875436.87356,1514875446.418102,4
"[640, 647]",1514875458.428942,1514875465.102506,3
"[640, 648]",1514875477.109535,300.0,1
"[640, 649]",1514875789.119445,1514875810.453496,4
"[641, 632]",1514875855.739896,1514875878.992916,4
"[641, 633]",1514875890.999874,1514875914.35287,4
"[641, 634]",1514875926.362276,1514875949.716938,4
"[641, 635]",1514875961.725003,1514875981.756604,4
"[641, 636]",1514875993.768711,1514876000.108943,4
"[641, 637]",1514876012.116309,1514876018.456242,4
"[641, 638]",1514876030.464688,1514876036.804853,4
"[641, 639]",1514876048.816328,1514876055.157725,3
"[641, 640]",1514876067.165537,1514876069.500659,3
"[641, 641]",1514876081.507531,1514876082.209077,3
"[641, 642]",1514876094.219033,1514876100.558982,4
"[641, 643]",1514876112.571027,1514876120.246768,3
"[641, 644]",1514876132.256714,1514876139.932056,3
"[641, 645]",1514876151.939335,1514876175.375263,4
"[641, 646]",1514876187.38305,1514876193.723486,4
"[641, 647]",1514876205.736562,1514876214.080945,3
"[641, 648]",1514876226.091812,300.0,1
"[641, 649]",1514876538.103011,1514876561.074011,4
"[642, 632]",1514876594.702503,1514876607.352283,4
"[642, 633]",1514876619.362261,1514876631.911812,4
"[642, 634]",1514876643.921095,1514876652.933896,4
"[642, 635]",1514876664.943633,1514876673.956893,4
"[642, 636]",1514876685.967934,1514876692.308407,4
"[642, 637]",1514876704.316591,1514876710.65689,4
"[642, 638]",1514876722.663673,1514876729.003841,4
"[642, 639]",1514876741.013168,1514876753.631029,4
"[642, 640]",1514876765.639798,1514876778.188661,4
"[642, 641]",1514876790.199034,1514876799.212901,4
"[642, 642]",1514876811.219059,1514876811.920514,3
"[642, 643]",1514876823.930815,1514876836.580366,4
"[642, 644]",1514876848.587451,1514876861.305475,4
"[642, 645]",1514876873.318181,1514876885.967947,4
"[642, 646]",1514876897.976978,1514876904.317044,4
"[642, 647]",1514876916.323875,1514876929.042607,4
"[642, 648]",1514876941.053211,1514876953.671235,4
"[642, 649]",1514876965.680641,1514876978.398644,4
"[643, 632]",1514877302.945028,1514877324.312277,4
"[643, 633]",1514877336.320465,1514877357.686017,4
"[643, 634]",1514877369.69266,1514877390.959278,4
"[643, 635]",1514877402.971053,1514877424.307237,4
"[643, 636]",1514877436.317118,1514877445.930483,4
"[643, 637]",1514877457.938397,1514877467.483285,4
"[643, 638]",1514877479.496492,1514877489.209534,4
"[643, 639]",1514877501.221253,1514877504.226543,3
"[643, 640]",1514877516.23295,1514877520.571193,3
"[643, 641]",1514877532.580284,1514877553.915044,4
"[643, 642]",1514877565.924222,1514877575.637676,4
"[643, 643]",1514877587.648611,1514877588.350227,3
"[643, 644]",1514877600.360012,1514877602.363535,3
"[643, 645]",1514877614.371042,1514877635.705911,4
"[643, 646]",1514877647.715006,1514877657.42813,4
"[643, 647]",1514877669.438702,1514877672.775569,3
"[643, 648]",1514877684.787037,300.0,1
"[643, 649]",1514877996.798677,1514878018.167258,4
"[644, 632]",1514878063.455014,1514878084.722802,4
"[644, 633]",1514878096.735746,1514878118.102021,4
"[644, 634]",1514878130.111415,1514878151.446598,4
"[644, 635]",1514878163.452978,1514878184.790368,4
"[644, 636]",1514878196.799147,1514878206.34448,4
"[644, 637]",1514878218.351063,1514878227.896124,4
"[644, 638]",1514878239.907488,1514878249.520695,4
"[644, 639]",1514878261.529375,1514878266.869558,3
"[644, 640]",1514878278.879337,1514878282.216684,3
"[644, 641]",1514878294.227314,1514878315.560326,4
"[644, 642]",1514878327.569352,1514878337.214999,4
"[644, 643]",1514878349.223023,300.0,1
"[644, 644]",1514878661.230458,1514878661.931928,3
"[644, 645]",1514878673.939,1514878695.205355,4
"[644, 646]",1514878707.213252,1514878716.957798,4
"[644, 647]",1514878728.968035,1514878735.64227,3
"[644, 648]",1514878747.652519,300.0,1
"[644, 649]",1514879059.662303,1514879080.92809,4
"[645, 632]",1514879126.211443,1514879148.808479,4
"[645, 633]",1514879160.819725,1514879183.155749,4
"[645, 634]",1514879195.164886,1514879217.801678,4
"[645, 635]",1514879229.811349,1514879252.079186,4
"[645, 636]",1514879264.092305,1514879270.432322,4
"[645, 637]",1514879282.444218,1514879288.784737,4
"[645, 638]",1514879300.796376,1514879307.136511,4
"[645, 639]",1514879319.146594,300.0,1
"[645, 640]",1514879631.156598,1514879636.495912,3
"[645, 641]",1514879648.504197,1514879670.857115,4
"[645, 642]",1514879682.869196,1514879689.209819,4
"[645, 643]",1514879701.220167,300.0,1
"[645, 644]",1514880013.229201,1514880018.569061,3
"[645, 645]",1514880030.578561,1514880031.280207,3
"[645, 646]",1514880043.290287,1514880049.630795,4
"[645, 647]",1514880061.639022,300.0,1
"[645, 648]",1514880373.649171,1514880381.324714,3
"[645, 649]",1514880393.336323,1514880415.488782,4
"[646, 632]",1514880449.153144,1514880461.370587,4
"[646, 633]",1514880473.377494,1514880485.658374,4
"[646, 634]",1514880497.666181,1514880509.947315,4
"[646, 635]",1514880521.957288,1514880534.174216,4
"[646, 636]",1514880546.183016,1514880552.523405,4
"[646, 637]",1514880564.531006,1514880570.871164,4
"[646, 638]",1514880582.883003,1514880589.223163,4
"[646, 639]",1514880601.233625,1514880610.577837,4
"[646, 640]",1514880622.585826,1514880634.866323,4
"[646, 641]",1514880646.878306,1514880659.196209,4
"[646, 642]",1514880671.20303,1514880677.543421,4
"[646, 643]",1514880689.5498,1514880701.867788,4
"[646, 644]",1514880713.878735,1514880726.059806,4
"[646, 645]",1514880738.071044,1514880750.289249,4
"[646, 646]",1514880762.301776,1514880763.003308,3
"[646, 647]",1514880775.009794,1514880787.289982,4
"[646, 648]",1514880799.301469,1514880811.619537,4
"[646, 649]",1514880823.628397,1514880835.845711,4
