pose,start,finish_time,goal_state
100,1514830619.446937,1514830623.456595,3
101,1514858851.077187,1514858855.41984,3
102,1514887604.816131,1514887609.828048,3
103,1514916562.570024,1514916569.249969,3
104,1514947110.295767,1514947116.976114,3
105,1514978706.179004,300.0,1
106,1515011048.204334,1515011069.559311,4
107,1515033817.252825,1515033826.588568,3
108,1515063921.639429,1515063929.657517,3
109,1515094849.471681,1515094856.489372,3
109,1515122121.306404,300.0,0
110,1515122124.545013,300.0,0
111,1515122124.706239,300.0,0
112,1515122124.939357,300.0,0
113,1515122125.134378,300.0,0
114,1515122125.557789,300.0,0
109,1515122688.090717,1515122695.776996,3
110,1515127427.314888,1515127433.661738,3
111,1515156282.856597,1515156288.200415,3
112,1515183009.938783,1515183014.61439,3
113,1515211048.725945,1515211052.736361,3
114,1515239333.852491,1515239337.192773,3
115,1515267386.56062,1515267389.568083,3
116,1515295717.027529,1515295721.037861,3
117,1515323327.191066,1515323331.533736,3
118,1515351393.564006,1515351398.908439,3
119,1515380146.549583,1515380152.895668,3
120,1515410500.97573,300.0,1
121,1515443529.738057,1515443551.09176,4
122,1515465586.213499,1515465595.898271,3
123,1515495266.551756,1515495275.236117,3
124,1515522755.398048,1515522763.080425,3
125,1515551928.132795,1515551934.813708,3
126,1515581506.248272,1515581512.262268,3
127,1515611342.529189,1515611347.871444,3
128,1515640604.683787,1515640609.026184,3
129,1515669005.394045,1515669007.399279,3
130,1515697152.981133,1515697155.651464,3
131,1515724428.958075,1515724432.297069,3
