pose,start,finish_time,goal_state
"[651, 0]",1515854266.566088,1515854287.916689,4
"[651, 1]",1515854299.92802,1515854321.278528,4
"[651, 2]",1515854333.290087,1515854354.639397,4
"[651, 3]",1515854366.648143,1515854387.998255,4
"[651, 4]",1515854400.00559,1515854421.01687,4
"[651, 5]",1515854433.02655,1515854454.375072,4
"[651, 6]",1515854466.382632,1515854487.7318,4
"[651, 7]",1515854499.742124,1515854521.090603,4
"[651, 8]",1515854533.100334,1515854554.450163,4
"[651, 9]",1515854566.462112,1515854587.811764,4
"[651, 10]",1515854599.823281,1515854621.171946,4
"[651, 11]",1515854633.181668,1515854654.531272,4
"[651, 12]",1515854666.541043,1515854687.890909,4
"[651, 13]",1515854699.900362,1515854721.248371,4
"[651, 14]",1515854733.255565,1515854754.605017,4
"[651, 15]",1515854766.613544,1515854787.962037,4
"[651, 16]",1515854799.974103,1515854821.323913,4
"[651, 17]",1515854833.331647,1515854854.681439,4
"[651, 18]",1515854866.692044,1515854888.040544,4
"[651, 19]",1515854900.050547,1515854921.400759,4
"[651, 20]",1515854933.409147,1515854954.757378,4
"[651, 21]",1515854966.764193,1515854988.112667,4
"[651, 22]",1515855000.119942,1515855021.467789,4
"[651, 23]",1515855033.478933,1515855054.828448,4
"[651, 24]",1515855066.838845,1515855088.188136,4
"[651, 25]",1515855100.1955,1515855121.5449,4
"[651, 26]",1515855133.5539,1515855154.903213,4
"[651, 27]",1515855166.909784,1515855188.258048,4
"[651, 28]",1515855200.267561,1515855221.279195,4
"[651, 29]",1515855233.284589,1515855254.635381,4
"[651, 30]",1515855266.645172,1515855287.994348,4
"[651, 31]",1515855300.003343,1515855321.353072,4
"[651, 32]",1515855333.363057,1515855354.71325,4
"[651, 33]",1515855366.720273,1515855388.070123,4
"[651, 34]",1515855400.079633,1515855421.429544,4
"[651, 35]",1515855433.438904,1515855454.789329,4
"[651, 36]",1515855466.800332,1515855488.149213,4
"[651, 37]",1515855500.157797,1515855521.508667,4
"[651, 38]",1515855533.520417,1515855554.869808,4
"[651, 39]",1515855566.876479,1515855588.225149,4
"[651, 40]",1515855600.234937,1515855621.583701,4
"[651, 41]",1515855633.592365,1515855654.939225,4
"[651, 42]",1515855666.950076,1515855688.298977,4
"[651, 43]",1515855700.310669,1515855721.659513,4
"[651, 44]",1515855733.668902,1515855754.68226,4
"[651, 45]",1515855766.692326,1515855788.040022,4
"[651, 46]",1515855800.05127,1515855821.399684,4
"[651, 47]",1515855833.407732,1515855854.755831,4
"[651, 48]",1515855866.764904,1515855888.11318,4
"[651, 49]",1515855900.121789,1515855921.470713,4
"[651, 50]",1515855933.478525,1515855954.827509,4
"[651, 51]",1515855966.837125,1515855988.18555,4
"[651, 52]",1515856000.193758,1515856021.54316,4
"[651, 53]",1515856033.555696,1515856054.905122,4
"[651, 54]",1515856066.916711,1515856088.265261,4
"[651, 55]",1515856100.27335,1515856121.620911,4
"[651, 56]",1515856133.627974,1515856154.97625,4
"[651, 57]",1515856166.982368,1515856188.331295,4
"[651, 58]",1515856200.341198,1515856221.689563,4
"[651, 59]",1515856233.698841,1515856255.0472,4
"[651, 60]",1515856267.054808,1515856288.403023,4
"[651, 61]",1515856300.4096,1515856321.758369,4
"[651, 62]",1515856333.770461,1515856355.119243,4
