,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,15.2,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
1,0.925,18.5,92.2810628756,69.2892970534,50.3808523914,42.5982353995,34.6096746184,13.507295681,0.925,0.925,27.6947301058,55.3805140438,36.9070088221,55.3974956456,46.1313364532,39.5797360971,32.5823370922,29.1469537971,0.925,13.50519537,39.5724794932,46.136133737,27.6908973571,36.9031507677,39.5639162894,20.5040698774,29.1452590674,24.0784996094,0.925,0.925,0.925,39.5781795887,17.8912604983,34.6184836785,34.6156204352,30.7577778867,29.1528474725,0.925,22.1955157089,23.0687012411,30.7531443702,29.145194479,27.6942961751,13.1813634273,18.453088381,0.925,21.3029676925,24.0861763768,26.3627698468,25.174504169
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8.735,654.315686229,871.261245235,174.7,871.246431224,654.204458013,475.75762456,227.445112884,8.735,8.735,209.561825215,326.822517659,348.527149847,523.087697876,217.809238148,307.635138957,402.291713726,326.841352358,8.735,158.414585926,290.445153665,348.491694069,402.308279378,435.678981528,275.205086509,326.823917067,373.635727442,326.846236322,8.735,8.735,8.735,290.417341755,307.695441419,402.288555364,237.731095145,237.727986876,307.732024545,8.735,71.7138406539,307.713014707,307.67155272,217.806959182,275.230546878,141.621220412,109.167842624,8.735,209.542522328,261.570448399,275.255050341,163.453638159
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.95,181.905978193,236.574827897,295.833727436,393.875273669,79.0,473.459635908,181.924734499,3.95,3.95,71.637947818,87.5705290919,131.326554291,147.790845211,147.791893324,236.52327154,94.7630907117,71.6391295828,3.95,76.3890233765,102.825606569,118.248160106,131.333258633,157.595226798,157.612400801,196.963332604,131.3192209,124.489929823,3.95,3.95,3.95,107.486617211,124.454445037,147.815707302,147.801023746,181.907316374,48.3494808578,3.95,47.381094122,118.251717585,124.444881774,139.16844934,147.827102749,90.9798228537,44.7056107677,3.95,18.3711594666,107.493012306,112.564139985,118.278487837
6,2.195,82.1278224728,101.108740113,119.552144924,164.416886985,263.099721726,43.9,47.00428471,2.195,2.195,21.9387113269,43.7854093409,52.6705144692,57.1397866814,59.7347977928,62.5589607592,69.1690517593,50.5444116498,2.195,34.5797423121,39.8096645604,42.4522592006,38.7287300795,48.6566335265,57.1339907442,50.5411180238,54.735233975,50.5428743859,2.195,2.195,2.195,43.7897067976,50.5421654446,48.6556846546,54.7345717605,54.7358539004,48.6587628372,2.195,21.5753418178,45.3135094075,45.3161569141,47.0036715614,50.5450276915,39.8079681899,26.8662696417,2.195,23.0914923119,50.5419101751,39.8070258244,43.7895360076
7,20.605,300.884137844,616.869903882,536.520498108,179.041989993,949.002317556,441.240677198,412.1,20.605,20.605,75.3608344865,441.38283954,513.894924086,560.798922003,616.990703479,685.237638262,771.085783745,649.378978904,20.605,342.583643243,342.635255131,441.352826499,474.483639417,536.495918407,587.332619756,649.40764648,725.929493556,587.518842164,20.605,20.605,20.605,425.566938946,474.551835442,280.387134437,560.809293339,587.303163992,616.975551391,20.605,141.966646074,441.462168904,474.559092601,494.374079459,536.519315699,456.535418623,109.350305461,20.605,352.542792234,398.576529713,456.855537828,456.775674172
8,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,379.2,18.96,143.86423012,324.36682401,343.9313843,334.532634029,420.380513172,420.27722758,264.522175211,354.794963263,667.941956986,241.535509718,307.401439359,315.288891163,343.884349802,378.332784117,406.159834337,454.94333426,454.130548764,218.669935698,18.96,18.96,18.96,18.96,343.933035388,366.735186278,324.391216179,378.34932597,343.933749378,18.96,210.620459733,307.347353084,290.978538193,334.354202442,218.672924123,454.877795871,149.550709139,18.96,218.685940053,334.348607557,276.890370043,18.96
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11.985,358.833881425,287.517526685,287.532739004,231.83605425,217.362229012,119.788362302,43.83400152,90.9394935649,11.985,239.7,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985,11.985
