episode,loss
1,0.00340395
2,0.00310076
3,0.00349057
4,0.00297085
5,0.00298149
6,0.00318434
7,0.00317229
8,0.00251563
9,0.003174
10,0.0032783
11,0.00270102
12,0.00274229
13,0.00280456
14,0.00296604
15,0.00290496
16,0.0035747
17,0.0023998
18,0.00235296
19,0.00273908
20,0.00248654
21,0.00268303
22,0.00215652
23,0.00272086
24,0.00279258
25,0.00223621
26,0.00259751
27,0.00249248
28,0.00254116
29,0.00259754
30,0.00260282
31,0.00262497
32,0.00284733
33,0.00318172
34,0.00303761
35,0.00253351
36,0.0024206
37,0.00228295
38,0.00259144
39,0.00312874
40,0.00263802
41,0.00317304
42,0.00235691
43,0.00295555
44,0.00192906
45,0.00239504
46,0.00261914
47,0.00249884
48,0.00264873
49,0.00262355
50,0.00293171
51,0.00211584
52,0.00266295
53,0.00254888
54,0.0031799
55,0.00292154
56,0.00299959
57,0.00322957
58,0.00303404
59,0.00289035
60,0.00312391
61,0.00283256
62,0.00240963
63,0.0037781
64,0.00270199
65,0.00271887
66,0.00277059
67,0.00315506
68,0.0032088
69,0.0031623
70,0.00270526
71,0.00305128
72,0.00277904
73,0.0031346
74,0.002324
75,0.00323945
76,0.00246307
77,0.00301398
78,0.00308421
79,0.00373557
80,0.00307598
81,0.00320296
82,0.0034603
83,0.0036832
84,0.00319409
85,0.00346856
86,0.00295039
87,0.00375258
88,0.00306275
89,0.00278095
90,0.0024915
91,0.00271157
92,0.00283812
93,0.00396046
94,0.00301025
95,0.00281003
96,0.00334501
97,0.00297181
98,0.00287382
99,0.0029104
100,0.00210283
101,0.00291656
102,0.00355389
103,0.00279463
104,0.00249486
105,0.00272039
106,0.00320619
107,0.00330131
108,0.00352638
109,0.00345462
110,0.0032341
111,0.00323115
112,0.00194436
113,0.00357647
114,0.00267982
115,0.00337741
116,0.0025382
117,0.00340852
118,0.00310946
119,0.00306034
120,0.00349366
121,0.00303255
122,0.00266445
123,0.00304132
124,0.0039799
125,0.00362284
126,0.00296831
127,0.0029063
128,0.00284794
129,0.00269238
130,0.00327302
131,0.00333895
132,0.00315775
133,0.00315051
134,0.00328119
135,0.00323014
136,0.00257821
137,0.00292966
138,0.00288354
139,0.00295577
140,0.00337468
141,0.00308064
142,0.00285294
143,0.00377395
144,0.0027576
145,0.00296753
146,0.00290104
147,0.00362955
148,0.00323552
149,0.00349818
150,0.00266099
151,0.00390287
152,0.0036933
153,0.00384153
154,0.00330374
155,0.0030973
156,0.00314347
157,0.00286342
158,0.00421964
159,0.00364909
160,0.00367638
161,0.00318787
162,0.0034224
163,0.00318605
164,0.00423764
165,0.00297553
166,0.0036593
167,0.00267808
168,0.00289653
169,0.00321293
170,0.00380119
171,0.0039376
172,0.00292199
173,0.00252149
174,0.00273164
175,0.00375991
176,0.00292642
177,0.00381459
178,0.00377861
179,0.00380289
180,0.00316242
181,0.00285717
182,0.00321804
183,0.00306458
184,0.00310988
185,0.0026206
186,0.0031218
187,0.00335102
188,0.00332234
189,0.00339805
190,0.00333942
191,0.00319292
192,0.00330479
193,0.0033747
194,0.00296461
195,0.00274024
196,0.00342591
197,0.00316491
198,0.00334589
199,0.0025405
200,0.0026149
201,0.00322659
202,0.00307874
203,0.003584
204,0.00226019
205,0.00271514
206,0.00272207
207,0.003391
208,0.00297845
209,0.0039358
210,0.00325486
211,0.00333419
212,0.00341087
213,0.00359632
214,0.0031325
215,0.00270331
216,0.00279751
217,0.00314839
218,0.00317376
219,0.00365615
220,0.00393448
221,0.00273595
222,0.00282101
223,0.00355767
224,0.00377985
225,0.00305263
226,0.00272457
227,0.00281338
228,0.00291249
229,0.00353975
230,0.00339908
231,0.00326315
232,0.00315875
233,0.00271348
234,0.00228575
235,0.0030667
236,0.00357015
237,0.00262856
238,0.00360451
239,0.00284376
240,0.0036809
241,0.00305145
242,0.00318385
243,0.00349417
244,0.00316409
245,0.00258986
246,0.00368413
247,0.00333787
248,0.00297222
249,0.00322894
250,0.00271321
251,0.00322861
252,0.00257728
253,0.00405574
254,0.00283438
255,0.00376212
256,0.0028102
257,0.00295322
258,0.00317342
259,0.00339495
260,0.00273234
261,0.00380725
262,0.00403093
263,0.00276223
264,0.0033946
265,0.00281913
266,0.00332966
267,0.00283304
268,0.00278377
269,0.00306368
270,0.00368029
271,0.00287458
272,0.00263422
273,0.00262752
274,0.00323461
275,0.00293994
276,0.00347866
277,0.00345016
278,0.00359016
279,0.00305553
280,0.00262858
281,0.00283339
282,0.00396407
283,0.00307587
284,0.00295464
285,0.00414969
286,0.00315224
287,0.00297592
288,0.00326055
289,0.00299668
290,0.00446158
291,0.00328463
292,0.003117
293,0.00389594
294,0.00261929
295,0.00346658
296,0.00264799
297,0.00316505
298,0.00286135
299,0.00335005
300,0.00356404
301,0.00338777
302,0.00329106
303,0.002718
304,0.00308745
305,0.00336554
306,0.0027352
307,0.00317188
308,0.0037172
309,0.00336027
310,0.00399575
311,0.00345394
312,0.00271703
313,0.00344266
314,0.00269884
315,0.00305803
316,0.00323625
317,0.00295077
318,0.00362093
319,0.00252201
320,0.00300136
321,0.00322881
322,0.00332526
323,0.00279233
324,0.00346148
325,0.00321309
326,0.00306326
327,0.00363267
328,0.0030649
329,0.00265542
330,0.00394673
331,0.00303381
332,0.00371418
333,0.00320509
334,0.00325756
335,0.00349298
336,0.00254317
