episode,loss
1,0.190954
2,0.00448878
3,0.00505068
4,0.00495934
5,0.00657793
6,0.00382552
7,0.00476759
8,0.00549718
9,0.00502147
10,0.00596248
11,0.00404013
12,0.00585813
13,0.00932539
14,0.00538538
15,0.00546749
16,0.00588533
17,0.00473096
18,0.00418601
19,0.00359661
20,0.00648592
21,0.00791412
22,0.00595383
23,0.00542046
24,0.00552174
25,0.00452195
26,0.00486622
27,0.00838163
28,0.00549076
29,0.00772294
30,0.00604873
31,0.00556306
32,0.00663925
33,0.00852267
34,0.00682146
35,0.0063997
36,0.00536337
37,0.00657716
38,0.00424264
39,0.00481439
40,0.00758115
41,0.00600199
42,0.00447887
43,0.00548711
44,0.00430336
45,0.00457614
46,0.00560108
47,0.00768593
48,0.00616413
49,0.00633923
50,0.00384392
51,0.005553
52,0.00478506
53,0.00438144
54,0.00342159
55,0.00414901
56,0.00554793
57,0.00376376
58,0.00615504
59,0.00484666
60,0.005025
61,0.00488372
62,0.0058391
63,0.00835882
64,0.00406595
65,0.00729534
66,0.0042912
67,0.00446071
68,0.00469291
69,0.00568596
70,0.0056419
71,0.00539505
72,0.00555188
73,0.00425294
74,0.00592717
75,0.00661776
76,0.00738998
77,0.00495998
78,0.00735572
79,0.00647653
80,0.00794059
81,0.00458907
82,0.0053188
83,0.00400189
84,0.00514653
85,0.00800242
86,0.00746366
87,0.00540451
88,0.00419964
89,0.00454006
90,0.00391284
91,0.00820173
92,0.00534302
93,0.0056506
94,0.00583961
95,0.00474045
96,0.00583804
97,0.00415034
98,0.00594325
99,0.00698051
100,0.00620079
101,0.00950424
102,0.00547023
103,0.00533081
104,0.00435212
105,0.00540198
106,0.00489983
107,0.00597241
108,0.00515676
109,0.00678706
110,0.00424066
111,0.00616938
112,0.00772392
113,0.00604612
114,0.00296446
115,0.00603199
116,0.00596503
117,0.00523988
118,0.00371977
119,0.00710342
120,0.00316683
121,0.00800819
122,0.00394828
123,0.00374299
124,0.00474415
125,0.00269842
126,0.00386895
127,0.00402442
128,0.00308381
129,0.0049703
130,0.00391548
131,0.00457552
132,0.00620771
133,0.00333631
134,0.0043515
135,0.00390232
136,0.00531569
137,0.00356109
138,0.00637265
