,actions,next_state,start,positions,rewards,possibility
152.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[185.0, 491.0, 2397.0, 0.0, 152.0, 152.0, 152.0, 152.0, 152.0]",0,"[1.0, 11.0, 10.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.275647921614671, 0.7315844838529918, 3.5715030708668456, 0.0, -100.0, -100.0, -100.0, -100.0, 0.22647829235367564]","[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
185.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 258.0, 491.0, 2397.0, 152.0, 185.0, 185.0, 185.0, 185.0]",1,"[2.0, 12.0, 11.0, 10.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.3844171014950547, 0.7315844838529918, 3.5715030708668456, 0.22647829235367564, -100.0, -100.0, -100.0, 0.275647921614671]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1747.0, 0.0, 258.0, 491.0, 185.0, 0.0, 0.0, 0.0, 0.0]",2,"[3.0, 13.0, 12.0, 11.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[2.6030103733017853, 0.0, 0.3844171014950547, 0.7315844838529918, 0.275647921614671, -100.0, -100.0, -100.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1747.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 989.0, 0.0, 258.0, 0.0, 1747.0, 1747.0, 1747.0, 1747.0]",3,"[4.0, 14.0, 13.0, 12.0, 2.0, 3.0, 3.0, 3.0, 3.0]","[0.0, 1.4735988890643765, 0.0, 0.3844171014950547, 0.0, -100.0, -100.0, -100.0, 2.6030103733017853]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[790.0, 84.0, 989.0, 0.0, 1747.0, 0.0, 0.0, 0.0, 0.0]",4,"[5.0, 15.0, 14.0, 13.0, 3.0, 4.0, 4.0, 4.0, 4.0]","[1.1770911247329194, 0.1251590563007155, 1.4735988890643765, 0.0, 2.6030103733017853, -100.0, -100.0, -100.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
790.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[439.0, 75.0, 84.0, 989.0, 0.0, 790.0, 790.0, 790.0, 790.0]",5,"[6.0, 16.0, 15.0, 14.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[0.6541050680477869, 0.11174915741135312, 0.1251590563007155, 1.4735988890643765, 0.0, -100.0, -100.0, -100.0, 1.1770911247329194]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
439.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4121.0, 5004.0, 75.0, 84.0, 790.0, 439.0, 439.0, 439.0, 439.0]",6,"[7.0, 17.0, 16.0, 15.0, 5.0, 6.0, 6.0, 6.0, 6.0]","[6.1402437025624828, 7.4559037824854801, 0.11174915741135312, 0.1251590563007155, 1.1770911247329194, -100.0, -100.0, -100.0, 0.6541050680477869]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
4121.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3792.0, 6345.0, 5004.0, 75.0, 439.0, 4121.0, 4121.0, 4121.0, 4121.0]",7,"[8.0, 18.0, 17.0, 16.0, 6.0, 7.0, 7.0, 7.0, 7.0]","[5.6500373987180135, 9.4539787170004743, 7.4559037824854801, 0.11174915741135312, 0.6541050680477869, -100.0, -100.0, -100.0, 6.1402437025624828]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
3792.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3792.0, 3792.0, 6345.0, 5004.0, 4121.0, 3792.0, 3792.0, 3792.0, 3792.0]",8,"[8.0, 8.0, 18.0, 17.0, 7.0, 8.0, 8.0, 8.0, 8.0]","[-100.0, -100.0, 9.4539787170004743, 7.4559037824854801, 6.1402437025624828, -100.0, -100.0, -100.0, 5.6500373987180135]","[-1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2397.0, 1603.0, 4583.0, 0.0, 0.0, 0.0, 0.0, 152.0, 0.0]",9,"[10.0, 20.0, 19.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0]","[3.5715030708668456, 2.3884519910719875, 6.8286185122164182, -100.0, -100.0, -100.0, -100.0, 0.22647829235367564, 0.0]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
