,actions,next_state,rewards
152.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[185.0, 491.0, 2397.0, 0.0, 152.0, 152.0, 152.0, 152.0]","[0.0020640640864006072, 0.0054781376563389078, 0.026743576297850027, 0.0, 0.0, 0.0, 0.0, 0.0]"
185.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 258.0, 491.0, 2397.0, 152.0, 185.0, 185.0, 185.0]","[0.0, 0.0028785326177911169, 0.0054781376563389078, 0.026743576297850027, 0.0016958796817994177, 0.0, 0.0, 0.0]"
1747.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 989.0, 0.0, 258.0, 0.0, 1747.0, 1747.0, 1747.0]","[0.0, 0.011034375034865948, 0.0, 0.0028785326177911169, 0.0, 0.0, 0.0, 0.0]"
790.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[439.0, 75.0, 84.0, 989.0, 0.0, 790.0, 790.0, 790.0]","[0.0048979682915127913, 0.00083678273772997574, 0.00093719666625757293, 0.011034375034865948, 0.0, 0.0, 0.0, 0.0]"
439.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[4121.0, 5004.0, 75.0, 84.0, 790.0, 439.0, 439.0, 439.0]","[0.045978422162469737, 0.055830144261343986, 0.00083678273772997574, 0.00093719666625757293, 0.008814111504089079, 0.0, 0.0, 0.0]"
4121.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3792.0, 6345.0, 5004.0, 75.0, 439.0, 4121.0, 4121.0, 4121.0]","[0.042307735219627579, 0.07079181961195595, 0.055830144261343986, 0.00083678273772997574, 0.0048979682915127913, 0.0, 0.0, 0.0]"
3792.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3792.0, 3792.0, 6345.0, 5004.0, 4121.0, 3792.0, 3792.0, 3792.0]","[0.0, 0.0, 0.07079181961195595, 0.055830144261343986, 0.045978422162469737, 0.0, 0.0, 0.0]"
2397.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[491.0, 872.0, 1603.0, 4583.0, 0.0, 2397.0, 152.0, 185.0]","[0.0054781376563389078, 0.0097289939640071849, 0.017884836381082014, 0.051133003826886389, 0.0, 0.0, 0.0016958796817994177, 0.0020640640864006072]"
491.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[258.0, 218.0, 872.0, 1603.0, 2397.0, 152.0, 185.0, 0.0]","[0.0028785326177911169, 0.0024322484910017962, 0.0097289939640071849, 0.017884836381082014, 0.026743576297850027, 0.0016958796817994177, 0.0020640640864006072, 0.0]"
258.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 2943.0, 218.0, 872.0, 491.0, 185.0, 0.0, 1747.0]","[0.0, 0.032835354628524251, 0.0024322484910017962, 0.0097289939640071849, 0.0054781376563389078, 0.0020640640864006072, 0.0, 0.019491459237523569]"
