,actions,next_state,start,positions,rewards,possibility
152.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[185.0, 491.0, 2397.0, 0.0, 152.0, 152.0, 152.0, 152.0, 152.0]",0,"[1.0, 11.0, 10.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.81312426516641578, 2.1580757524146494, 10.535453316777831, 0.0, -100.0, -100.0, -100.0, -100.0, 0.66808047732592002]","[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
185.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 258.0, 491.0, 2397.0, 152.0, 185.0, 185.0, 185.0, 185.0]",1,"[2.0, 12.0, 11.0, 10.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.1339787049347851, 2.1580757524146494, 10.535453316777831, 0.66808047732592002, -100.0, -100.0, -100.0, 0.81312426516641578]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1747.0, 0.0, 258.0, 491.0, 185.0, 0.0, 0.0, 0.0, 0.0]",2,"[3.0, 13.0, 12.0, 11.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[7.6785302229498829, 0.0, 1.1339787049347851, 2.1580757524146494, 0.81312426516641578, -100.0, -100.0, -100.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1747.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 989.0, 0.0, 258.0, 0.0, 1747.0, 1747.0, 1747.0, 1747.0]",3,"[4.0, 14.0, 13.0, 12.0, 2.0, 3.0, 3.0, 3.0, 3.0]","[0.0, 4.3469183689166764, 0.0, 1.1339787049347851, 0.0, -100.0, -100.0, -100.0, 7.6785302229498829]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[790.0, 84.0, 989.0, 0.0, 1747.0, 0.0, 0.0, 0.0, 0.0]",4,"[5.0, 15.0, 14.0, 13.0, 3.0, 4.0, 4.0, 4.0, 4.0]","[3.4722603755755053, 0.36920236904853471, 4.3469183689166764, 0.0, 7.6785302229498829, -100.0, -100.0, -100.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
790.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[439.0, 75.0, 84.0, 989.0, 0.0, 790.0, 790.0, 790.0, 790.0]",5,"[6.0, 16.0, 15.0, 14.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[1.9295219049084136, 0.32964497236476314, 0.36920236904853471, 4.3469183689166764, 0.0, -100.0, -100.0, -100.0, 3.4722603755755053]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
439.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4121.0, 5004.0, 75.0, 84.0, 790.0, 439.0, 439.0, 439.0, 439.0]",6,"[7.0, 17.0, 16.0, 15.0, 5.0, 6.0, 6.0, 6.0, 6.0]","[18.112892414869187, 21.993912556176998, 0.32964497236476314, 0.36920236904853471, 3.4722603755755053, -100.0, -100.0, -100.0, 1.9295219049084136]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
4121.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3792.0, 6345.0, 5004.0, 75.0, 439.0, 4121.0, 4121.0, 4121.0, 4121.0]",7,"[8.0, 18.0, 17.0, 16.0, 6.0, 7.0, 7.0, 7.0, 7.0]","[16.666849802762425, 27.887964662058963, 21.993912556176998, 0.32964497236476314, 1.9295219049084136, -100.0, -100.0, -100.0, 18.112892414869187]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
3792.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3792.0, 3792.0, 6345.0, 5004.0, 4121.0, 3792.0, 3792.0, 3792.0, 3792.0]",8,"[8.0, 8.0, 18.0, 17.0, 7.0, 8.0, 8.0, 8.0, 8.0]","[-100.0, -100.0, 27.887964662058963, 21.993912556176998, 18.112892414869187, -100.0, -100.0, -100.0, 16.666849802762425]","[-1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2397.0, 1603.0, 4583.0, 0.0, 0.0, 0.0, 0.0, 152.0, 0.0]",9,"[10.0, 20.0, 19.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0]","[10.535453316777831, 7.0456118760095379, 20.143505444636126, -100.0, -100.0, -100.0, -100.0, 0.66808047732592002, 0.0]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
2397.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[491.0, 872.0, 1603.0, 4583.0, 0.0, 2397.0, 152.0, 185.0, 2397.0]",10,"[11.0, 21.0, 20.0, 19.0, 9.0, 10.0, 0.0, 1.0, 10.0]","[2.1580757524146494, 3.8326722120276462, 7.0456118760095379, 20.143505444636126, 0.0, -100.0, 0.66808047732592002, 0.81312426516641578, 10.535453316777831]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
491.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[258.0, 218.0, 872.0, 1603.0, 2397.0, 152.0, 185.0, 0.0, 491.0]",11,"[12.0, 22.0, 21.0, 20.0, 10.0, 0.0, 1.0, 2.0, 11.0]","[1.1339787049347851, 0.95816805300691155, 3.8326722120276462, 7.0456118760095379, 10.535453316777831, 0.66808047732592002, 0.81312426516641578, 0.0, 2.1580757524146494]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
258.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 2943.0, 218.0, 872.0, 491.0, 185.0, 0.0, 1747.0, 258.0]",12,"[13.0, 23.0, 22.0, 21.0, 11.0, 1.0, 2.0, 3.0, 12.0]","[0.0, 12.935268715593306, 0.95816805300691155, 3.8326722120276462, 2.1580757524146494, 0.81312426516641578, 0.0, 7.6785302229498829, 1.1339787049347851]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[989.0, 652.0, 2943.0, 218.0, 258.0, 0.0, 1747.0, 0.0, 0.0]",13,"[14.0, 24.0, 23.0, 22.0, 12.0, 2.0, 3.0, 4.0, 13.0]","[4.3469183689166764, 2.8657136264243408, 12.935268715593306, 0.95816805300691155, 1.1339787049347851, 0.0, 7.6785302229498829, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
