,actions,next_state,start,positions,rewards,possibility
4148.63672193,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[43.310591822172661, 4161.0875487973763, 4438.65062855621, 516.82931987409063, 4148.6367219340136, 4148.6367219340136, 4148.6367219340136, 4148.6367219340136, 4148.6367219340136]",0,"[1.0, 11.0, 10.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25392895494054585, 24.396355908055341, 26.023701548184814, 3.0301578333795534, -100.0, -100.0, -100.0, -100.0, 24.32335701054453]","[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
43.3105918222,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[176.2139387290535, 2050.5667142550615, 4161.0875487973763, 4438.65062855621, 4148.6367219340136, 43.310591822172661, 43.310591822172661, 43.310591822172661, 43.310591822172661]",1,"[2.0, 12.0, 11.0, 10.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[1.0331380714247944, 12.022423173633188, 24.396355908055341, 26.023701548184814, 24.32335701054453, -100.0, -100.0, -100.0, 0.25392895494054585]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
176.213938729,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[367.04671161027937, 0.88509421092612672, 2050.5667142550615, 4161.0875487973763, 43.310591822172661, 176.2139387290535, 176.2139387290535, 176.2139387290535, 176.2139387290535]",2,"[3.0, 13.0, 12.0, 11.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[2.1519860147892715, 0.0051892860048460051, 12.022423173633188, 24.396355908055341, 0.25392895494054585, -100.0, -100.0, -100.0, 1.0331380714247944]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
367.04671161,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[979.83988051849303, 23.605613138049449, 0.88509421092612672, 2050.5667142550615, 176.2139387290535, 367.04671161027937, 367.04671161027937, 367.04671161027937, 367.04671161027937]",3,"[4.0, 14.0, 13.0, 12.0, 2.0, 3.0, 3.0, 3.0, 3.0]","[5.7447775798287113, 0.13839914031853609, 0.0051892860048460051, 12.022423173633188, 1.0331380714247944, -100.0, -100.0, -100.0, 2.1519860147892715]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
979.839880518,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[34.013624871375434, 239.66698600726139, 23.605613138049449, 0.88509421092612672, 367.04671161027937, 979.83988051849303, 979.83988051849303, 979.83988051849303, 979.83988051849303]",4,"[5.0, 15.0, 14.0, 13.0, 3.0, 4.0, 4.0, 4.0, 4.0]","[0.19942106200697138, 1.4051617567464902, 0.13839914031853609, 0.0051892860048460051, 2.1519860147892715, -100.0, -100.0, -100.0, 5.7447775798287113]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
34.0136248714,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4562.1689916369332, 747.84174185972563, 239.66698600726139, 23.605613138049449, 979.83988051849303, 34.013624871375434, 34.013624871375434, 34.013624871375434, 34.013624871375434]",5,"[6.0, 16.0, 15.0, 14.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[26.747886730918751, 4.3845780900675626, 1.4051617567464902, 0.13839914031853609, 5.7447775798287113, -100.0, -100.0, -100.0, 0.19942106200697138]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
4562.16899164,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[718.25734677230469, 612.17978312543119, 747.84174185972563, 239.66698600726139, 34.013624871375434, 4562.1689916369332, 4562.1689916369332, 4562.1689916369332, 4562.1689916369332]",6,"[7.0, 17.0, 16.0, 15.0, 5.0, 6.0, 6.0, 6.0, 6.0]","[4.2111254954241639, 3.5891952989935532, 4.3845780900675626, 1.4051617567464902, 0.19942106200697138, -100.0, -100.0, -100.0, 26.747886730918751]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
718.257346772,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[32.982073991544205, 3970.4618477197441, 612.17978312543119, 747.84174185972563, 4562.1689916369332, 718.25734677230469, 718.25734677230469, 718.25734677230469, 718.25734677230469]",7,"[8.0, 18.0, 17.0, 16.0, 6.0, 7.0, 7.0, 7.0, 7.0]","[0.19337310408575348, 23.278722021679513, 3.5891952989935532, 4.3845780900675626, 26.747886730918751, -100.0, -100.0, -100.0, 4.2111254954241639]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
32.9820739915,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[32.982073991544205, 32.982073991544205, 3970.4618477197441, 612.17978312543119, 718.25734677230469, 32.982073991544205, 32.982073991544205, 32.982073991544205, 32.982073991544205]",8,"[8.0, 8.0, 18.0, 17.0, 7.0, 8.0, 8.0, 8.0, 8.0]","[-100.0, -100.0, 23.278722021679513, 3.5891952989935532, 4.2111254954241639, -100.0, -100.0, -100.0, 0.19337310408575348]","[-1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
516.829319874,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4438.65062855621, 1537.8081468224116, 4136.0403668258341, 516.82931987409063, 516.82931987409063, 516.82931987409063, 516.82931987409063, 4148.6367219340136, 516.82931987409063]",9,"[10.0, 20.0, 19.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0]","[26.023701548184814, 9.0161320636066868, 24.249504884445376, -100.0, -100.0, -100.0, -100.0, 24.32335701054453, 3.0301578333795534]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
