,actions,next_state,start,positions,rewards,possibility
4148.63672193,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[43.310591822172661, 4161.0875487973763, 4438.65062855621, 516.82931987409063, 4148.6367219340136, 4148.6367219340136, 4148.6367219340136, 4148.6367219340136, 4148.6367219340136]",0,"[1.0, 11.0, 10.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.68175763138464485, 65.50021765807233, 69.869374020404322, 8.1354772152319512, -100.0, -100.0, -100.0, -100.0, 65.304227580956805]","[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
43.3105918222,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[176.2139387290535, 2050.5667142550615, 4161.0875487973763, 4438.65062855621, 4148.6367219340136, 43.310591822172661, 43.310591822172661, 43.310591822172661, 43.310591822172661]",1,"[2.0, 12.0, 11.0, 10.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[2.773806416179605, 32.278236045507697, 65.50021765807233, 69.869374020404322, 65.304227580956805, -100.0, -100.0, -100.0, 0.68175763138464485]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
176.213938729,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[367.04671161027937, 0.88509421092612672, 2050.5667142550615, 4161.0875487973763, 43.310591822172661, 176.2139387290535, 176.2139387290535, 176.2139387290535, 176.2139387290535]",2,"[3.0, 13.0, 12.0, 11.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[5.7777297928041529, 0.013932382528292753, 32.278236045507697, 65.50021765807233, 0.68175763138464485, -100.0, -100.0, -100.0, 2.773806416179605]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
367.04671161,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[979.83988051849303, 23.605613138049449, 0.88509421092612672, 2050.5667142550615, 176.2139387290535, 367.04671161027937, 367.04671161027937, 367.04671161027937, 367.04671161027937]",3,"[4.0, 14.0, 13.0, 12.0, 2.0, 3.0, 3.0, 3.0, 3.0]","[15.423786375888652, 0.37157901158348866, 0.013932382528292753, 32.278236045507697, 2.773806416179605, -100.0, -100.0, -100.0, 5.7777297928041529]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
979.839880518,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[34.013624871375434, 239.66698600726139, 23.605613138049449, 0.88509421092612672, 367.04671161027937, 979.83988051849303, 979.83988051849303, 979.83988051849303, 979.83988051849303]",4,"[5.0, 15.0, 14.0, 13.0, 3.0, 4.0, 4.0, 4.0, 4.0]","[0.53541287134393833, 3.7726290458528924, 0.37157901158348866, 0.013932382528292753, 5.7777297928041529, -100.0, -100.0, -100.0, 15.423786375888652]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
34.0136248714,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4562.1689916369332, 747.84174185972563, 239.66698600726139, 23.605613138049449, 979.83988051849303, 34.013624871375434, 34.013624871375434, 34.013624871375434, 34.013624871375434]",5,"[6.0, 16.0, 15.0, 14.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[71.813692560131869, 11.771873648695786, 3.7726290458528924, 0.37157901158348866, 15.423786375888652, -100.0, -100.0, -100.0, 0.53541287134393833]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
4562.16899164,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[718.25734677230469, 612.17978312543119, 747.84174185972563, 239.66698600726139, 34.013624871375434, 4562.1689916369332, 4562.1689916369332, 4562.1689916369332, 4562.1689916369332]",6,"[7.0, 17.0, 16.0, 15.0, 5.0, 6.0, 6.0, 6.0, 6.0]","[11.306181856638075, 9.6364011980897217, 11.771873648695786, 3.7726290458528924, 0.53541287134393833, -100.0, -100.0, -100.0, 71.813692560131869]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
718.257346772,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[32.982073991544205, 3970.4618477197441, 612.17978312543119, 747.84174185972563, 4562.1689916369332, 718.25734677230469, 718.25734677230469, 718.25734677230469, 718.25734677230469]",7,"[8.0, 18.0, 17.0, 16.0, 6.0, 7.0, 7.0, 7.0, 7.0]","[0.51917509543512586, 62.499553825508606, 9.6364011980897217, 11.771873648695786, 71.813692560131869, -100.0, -100.0, -100.0, 11.306181856638075]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
32.9820739915,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[32.982073991544205, 32.982073991544205, 3970.4618477197441, 612.17978312543119, 718.25734677230469, 32.982073991544205, 32.982073991544205, 32.982073991544205, 32.982073991544205]",8,"[8.0, 8.0, 18.0, 17.0, 7.0, 8.0, 8.0, 8.0, 8.0]","[-100.0, -100.0, 62.499553825508606, 9.6364011980897217, 11.306181856638075, -100.0, -100.0, -100.0, 0.51917509543512586]","[-1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
516.829319874,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4438.65062855621, 1537.8081468224116, 4136.0403668258341, 516.82931987409063, 516.82931987409063, 516.82931987409063, 516.82931987409063, 4148.6367219340136, 516.82931987409063]",9,"[10.0, 20.0, 19.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0]","[69.869374020404322, 24.206837071317217, 65.105946724904499, -100.0, -100.0, -100.0, -100.0, 65.304227580956805, 8.1354772152319512]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
4438.65062856,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4161.0875487973763, 143.99924262891986, 1537.8081468224116, 4136.0403668258341, 516.82931987409063, 4438.65062855621, 4148.6367219340136, 43.310591822172661, 4438.65062855621]",10,"[11.0, 21.0, 20.0, 19.0, 9.0, 10.0, 0.0, 1.0, 10.0]","[65.50021765807233, 2.2667107154517381, 24.206837071317217, 65.105946724904499, 8.1354772152319512, -100.0, 65.304227580956805, 0.68175763138464485, 69.869374020404322]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
4161.0875488,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2050.5667142550615, 113.1869905595574, 143.99924262891986, 1537.8081468224116, 4438.65062855621, 4148.6367219340136, 43.310591822172661, 176.2139387290535, 4161.0875487973763]",11,"[12.0, 22.0, 21.0, 20.0, 10.0, 0.0, 1.0, 2.0, 11.0]","[32.278236045507697, 1.7816910677248048, 2.2667107154517381, 24.206837071317217, 69.869374020404322, 65.304227580956805, 0.68175763138464485, 2.773806416179605, 65.50021765807233]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2050.56671426,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.88509421092612672, 1184.0940725579394, 113.1869905595574, 143.99924262891986, 4161.0875487973763, 43.310591822172661, 176.2139387290535, 367.04671161027937, 2050.5667142550615]",12,"[13.0, 23.0, 22.0, 21.0, 11.0, 1.0, 2.0, 3.0, 12.0]","[0.013932382528292753, 18.638978048561849, 1.7816910677248048, 2.2667107154517381, 65.50021765807233, 0.68175763138464485, 2.773806416179605, 5.7777297928041529, 32.278236045507697]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.885094210926,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[23.605613138049449, 2394.917529101429, 1184.0940725579394, 113.1869905595574, 2050.5667142550615, 176.2139387290535, 367.04671161027937, 979.83988051849303, 0.88509421092612672]",13,"[14.0, 24.0, 23.0, 22.0, 12.0, 2.0, 3.0, 4.0, 13.0]","[0.37157901158348866, 37.69870678991451, 18.638978048561849, 1.7816910677248048, 32.278236045507697, 2.773806416179605, 5.7777297928041529, 15.423786375888652, 0.013932382528292753]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
23.605613138,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[239.66698600726139, 1635.4386919180595, 2394.917529101429, 1184.0940725579394, 0.88509421092612672, 367.04671161027937, 979.83988051849303, 34.013624871375434, 23.605613138049449]",14,"[15.0, 25.0, 24.0, 23.0, 13.0, 3.0, 4.0, 5.0, 14.0]","[3.7726290458528924, 25.743652117587846, 37.69870678991451, 18.638978048561849, 0.013932382528292753, 5.7777297928041529, 15.423786375888652, 0.53541287134393833, 0.37157901158348866]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
239.666986007,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[747.84174185972563, 639.21462832268162, 1635.4386919180595, 2394.917529101429, 23.605613138049449, 979.83988051849303, 34.013624871375434, 4562.1689916369332, 239.66698600726139]",15,"[16.0, 26.0, 25.0, 24.0, 14.0, 4.0, 5.0, 6.0, 15.0]","[11.771873648695786, 10.061960195348499, 25.743652117587846, 37.69870678991451, 0.37157901158348866, 15.423786375888652, 0.53541287134393833, 71.813692560131869, 3.7726290458528924]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
747.84174186,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[612.17978312543119, 3312.1695943937311, 639.21462832268162, 1635.4386919180595, 239.66698600726139, 34.013624871375434, 4562.1689916369332, 718.25734677230469, 747.84174185972563]",16,"[17.0, 27.0, 26.0, 25.0, 15.0, 5.0, 6.0, 7.0, 16.0]","[9.6364011980897217, 52.137290265844101, 10.061960195348499, 25.743652117587846, 3.7726290458528924, 0.53541287134393833, 71.813692560131869, 11.306181856638075, 11.771873648695786]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
612.179783125,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3970.4618477197441, 810.99545133116055, 3312.1695943937311, 639.21462832268162, 747.84174185972563, 4562.1689916369332, 718.25734677230469, 32.982073991544205, 612.17978312543119]",17,"[18.0, 28.0, 27.0, 26.0, 16.0, 6.0, 7.0, 8.0, 17.0]","[62.499553825508606, 12.765984363210597, 52.137290265844101, 10.061960195348499, 11.771873648695786, 71.813692560131869, 11.306181856638075, 0.51917509543512586, 9.6364011980897217]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3970.46184772,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3970.4618477197441, 3970.4618477197441, 810.99545133116055, 3312.1695943937311, 612.17978312543119, 718.25734677230469, 32.982073991544205, 3970.4618477197441, 3970.4618477197441]",18,"[18.0, 18.0, 28.0, 27.0, 17.0, 7.0, 8.0, 18.0, 18.0]","[-100.0, -100.0, 12.765984363210597, 52.137290265844101, 9.6364011980897217, 11.306181856638075, 0.51917509543512586, -100.0, 62.499553825508606]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
4136.04036683,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1537.8081468224116, 4320.7300386985526, 4507.2665993324154, 4136.0403668258341, 4136.0403668258341, 4136.0403668258341, 516.82931987409063, 4438.65062855621, 4136.0403668258341]",19,"[20.0, 30.0, 29.0, 19.0, 19.0, 19.0, 9.0, 10.0, 19.0]","[24.206837071317217, 68.013170753477823, 70.949466897075553, -100.0, -100.0, -100.0, 8.1354772152319512, 69.869374020404322, 65.105946724904499]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
