,actions,next_state,start,positions,rewards,possibility
1971.60970698,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[657.65778949723313, 257.4585810639955, 20.562357632837596, 2170.9824365499644, 1971.6097069814, 1971.6097069814, 1971.6097069814, 1971.6097069814, 1971.6097069814]",375,"[376.0, 401.0, 400.0, 399.0, 375.0, 375.0, 375.0, 375.0, 375.0]","[6.3532379573859084, 2.4871531300814538, 0.19864061992812038, 20.972560868246823, -100.0, -100.0, -100.0, -100.0, 19.046540355160563]","[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
657.657789497,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1069.9378367705403, 213.98985385684969, 257.4585810639955, 20.562357632837596, 1971.6097069814, 657.65778949723313, 657.65778949723313, 657.65778949723313, 657.65778949723313]",376,"[377.0, 402.0, 401.0, 400.0, 375.0, 376.0, 376.0, 376.0, 376.0]","[10.336028532119384, 2.0672277949572142, 2.4871531300814538, 0.19864061992812038, 19.046540355160563, -100.0, -100.0, -100.0, 6.3532379573859084]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1069.93783677,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1127.6417815348823, 3.0065688066740663, 213.98985385684969, 257.4585810639955, 657.65778949723313, 1069.9378367705403, 1069.9378367705403, 1069.9378367705403, 1069.9378367705403]",377,"[378.0, 403.0, 402.0, 401.0, 376.0, 377.0, 377.0, 377.0, 377.0]","[10.893471776953421, 0.02904466026116231, 2.0672277949572142, 2.4871531300814538, 6.3532379573859084, -100.0, -100.0, -100.0, 10.336028532119384]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1127.64178153,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[62.785161978740533, 1475.9320631103301, 3.0065688066740663, 213.98985385684969, 1069.9378367705403, 1127.6417815348823, 1127.6417815348823, 1127.6417815348823, 1127.6417815348823]",378,"[379.0, 404.0, 403.0, 402.0, 377.0, 378.0, 378.0, 378.0, 378.0]","[0.60652984061650062, 14.258095556115807, 0.02904466026116231, 2.0672277949572142, 10.336028532119384, -100.0, -100.0, -100.0, 10.893471776953421]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
62.7851619787,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[318.18411369080741, 1302.024782244712, 1475.9320631103301, 3.0065688066740663, 1127.6417815348823, 62.785161978740533, 62.785161978740533, 62.785161978740533, 62.785161978740533]",379,"[380.0, 405.0, 404.0, 403.0, 378.0, 379.0, 379.0, 379.0, 379.0]","[3.0737861252780552, 12.578081488760393, 14.258095556115807, 0.02904466026116231, 10.893471776953421, -100.0, -100.0, -100.0, 0.60652984061650062]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
318.184113691,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1321.9264782676801, 270.56987731145517, 1302.024782244712, 1475.9320631103301, 62.785161978740533, 318.18411369080741, 318.18411369080741, 318.18411369080741, 318.18411369080741]",380,"[381.0, 406.0, 405.0, 404.0, 379.0, 380.0, 380.0, 380.0, 380.0]","[12.770339852621845, 2.6138135092637222, 12.578081488760393, 14.258095556115807, 0.60652984061650062, -100.0, -100.0, -100.0, 3.0737861252780552]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1321.92647827,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[82.703502331835509, 39.943657590076768, 270.56987731145517, 1302.024782244712, 318.18411369080741, 1321.9264782676801, 1321.9264782676801, 1321.9264782676801, 1321.9264782676801]",381,"[382.0, 407.0, 406.0, 405.0, 380.0, 381.0, 381.0, 381.0, 381.0]","[0.79894899538110309, 0.38587174912366662, 2.6138135092637222, 12.578081488760393, 3.0737861252780552, -100.0, -100.0, -100.0, 12.770339852621845]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
82.7035023318,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1.990561393999379e-08, 143.59460236111283, 39.943657590076768, 270.56987731145517, 1321.9264782676801, 82.703502331835509, 82.703502331835509, 82.703502331835509, 82.703502331835509]",382,"[383.0, 408.0, 407.0, 406.0, 381.0, 382.0, 382.0, 382.0, 382.0]","[1.9229621251094552e-10, 1.3871814380755487, 0.38587174912366662, 2.6138135092637222, 12.770339852621845, -100.0, -100.0, -100.0, 0.79894899538110309]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1.990561394e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1359.1987905201763, 1070.4715715983868, 143.59460236111283, 39.943657590076768, 82.703502331835509, 1.990561393999379e-08, 1.990561393999379e-08, 1.990561393999379e-08, 1.990561393999379e-08]",383,"[384.0, 409.0, 408.0, 407.0, 382.0, 383.0, 383.0, 383.0, 383.0]","[13.130405334615341, 10.341184624575988, 1.3871814380755487, 0.38587174912366662, 0.79894899538110309, -100.0, -100.0, -100.0, 1.9229621251094552e-10]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1359.19879052,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[127.72562554103794, 1359.1987905201763, 1070.4715715983868, 143.59460236111283, 1.990561393999379e-08, 1359.1987905201763, 1359.1987905201763, 1359.1987905201763, 1359.1987905201763]",384,"[385.0, 384.0, 409.0, 408.0, 383.0, 384.0, 384.0, 384.0, 384.0]","[1.2338807587735496, -100.0, 10.341184624575988, 1.3871814380755487, 1.9229621251094552e-10, -100.0, -100.0, -100.0, 13.130405334615341]","[1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
127.725625541,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[127.72562554103794, 127.72562554103794, 127.72562554103794, 1070.4715715983868, 1359.1987905201763, 127.72562554103794, 127.72562554103794, 127.72562554103794, 127.72562554103794]",385,"[385.0, 385.0, 385.0, 409.0, 384.0, 385.0, 385.0, 385.0, 385.0]","[-100.0, -100.0, -100.0, 10.341184624575988, 13.130405334615341, -100.0, -100.0, -100.0, 1.2338807587735496]","[-1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
20.352440543,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[46.646304202335017, 757.83416398726058, 18.674380580276836, 20.352440542960423, 20.352440542960423, 20.352440542960423, 20.352440542960423, 20.352440542960423, 20.352440542960423]",386,"[387.0, 411.0, 410.0, 386.0, 386.0, 386.0, 386.0, 386.0, 386.0]","[0.45062200305815958, 7.3209819041730322, 0.18040200455009472, -100.0, -100.0, -100.0, -100.0, -100.0, 0.1966127366663237]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
46.6463042023,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2685.9185672356148, 35.012335598561904, 757.83416398726058, 18.674380580276836, 20.352440542960423, 46.646304202335017, 46.646304202335017, 46.646304202335017, 46.646304202335017]",387,"[388.0, 412.0, 411.0, 410.0, 386.0, 387.0, 387.0, 387.0, 387.0]","[25.947050372282828, 0.3382332012999798, 7.3209819041730322, 0.18040200455009472, 0.1966127366663237, -100.0, -100.0, -100.0, 0.45062200305815958]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
