,actions,next_state,start,positions,rewards,possibility
3780.09255837,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3780.0925583724793, 3780.0925583724793, 3780.0925583724793, 3780.0925583724793, 3780.0925583724793, 3780.0925583724793, 4231.4544132405026, 274.0677137308914, 3780.0925583724793]",300,"[300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 286.0, 287.0, 300.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, -100.0, 10.098153490218474, 0.65404883751266785, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
6103.68878844,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6103.6887884447324, 6103.6887884447324, 6103.6887884447324, 6103.6887884447324, 6103.6887884447324, 4231.4544132405026, 274.0677137308914, 905.20332764736293, 6103.6887884447324]",301,"[301.0, 301.0, 301.0, 301.0, 301.0, 286.0, 287.0, 288.0, 301.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 10.098153490218474, 0.65404883751266785, 2.1602222899618546, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
390.399176231,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[390.39917623104981, 390.39917623104981, 390.39917623104981, 390.39917623104981, 390.39917623104981, 274.0677137308914, 905.20332764736293, 1.8702862970432936, 390.39917623104981]",302,"[302.0, 302.0, 302.0, 302.0, 302.0, 287.0, 288.0, 289.0, 302.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 0.65404883751266785, 2.1602222899618546, 0.0044633443383198454, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
1542.6258395,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1542.6258394977347, 1542.6258394977347, 1542.6258394977347, 1542.6258394977347, 1542.6258394977347, 905.20332764736293, 1.8702862970432936, 4320.3141559911683, 1542.6258394977347]",303,"[303.0, 303.0, 303.0, 303.0, 303.0, 288.0, 289.0, 290.0, 303.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 2.1602222899618546, 0.0044633443383198454, 10.310212804526525, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
33.1567069915,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[33.156706991499171, 33.156706991499171, 33.156706991499171, 33.156706991499171, 33.156706991499171, 1.8702862970432936, 4320.3141559911683, 525.63733864337621, 33.156706991499171]",304,"[304.0, 304.0, 304.0, 304.0, 304.0, 289.0, 290.0, 291.0, 304.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 0.0044633443383198454, 10.310212804526525, 1.2544071157193091, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
604.918311791,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[604.91831179112057, 604.91831179112057, 604.91831179112057, 604.91831179112057, 604.91831179112057, 4320.3141559911683, 525.63733864337621, 450.68500959482577, 604.91831179112057]",305,"[305.0, 305.0, 305.0, 305.0, 305.0, 290.0, 291.0, 292.0, 305.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 10.310212804526525, 1.2544071157193091, 1.075537145901533, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
4827.23575631,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4827.2357563130017, 4827.2357563130017, 4827.2357563130017, 4827.2357563130017, 4827.2357563130017, 525.63733864337621, 450.68500959482577, 1795.5635989854984, 4827.2357563130017]",306,"[306.0, 306.0, 306.0, 306.0, 306.0, 291.0, 292.0, 293.0, 306.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 1.2544071157193091, 1.075537145901533, 4.2850223713314284, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
2990.0140397,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2990.0140397047594, 2990.0140397047594, 2990.0140397047594, 2990.0140397047594, 2990.0140397047594, 450.68500959482577, 1795.5635989854984, 1082.5850815878628, 2990.0140397047594]",307,"[307.0, 307.0, 307.0, 307.0, 307.0, 292.0, 293.0, 294.0, 307.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 1.075537145901533, 4.2850223713314284, 2.5835349391659816, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
6427.00659736,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6427.0065973589644, 6427.0065973589644, 6427.0065973589644, 6427.0065973589644, 6427.0065973589644, 1795.5635989854984, 1082.5850815878628, 0.0, 6427.0065973589644]",308,"[308.0, 308.0, 308.0, 308.0, 308.0, 293.0, 294.0, 295.0, 308.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 4.2850223713314284, 2.5835349391659816, 0.0, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
1826.23551518,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1826.2355151773279, 1826.2355151773279, 1826.2355151773279, 1826.2355151773279, 1826.2355151773279, 1082.5850815878628, 0.0, 70.838595176607768, 1826.2355151773279]",309,"[309.0, 309.0, 309.0, 309.0, 309.0, 294.0, 295.0, 296.0, 309.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 2.5835349391659816, 0.0, 0.16905275048845897, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
