,actions,next_state,start,positions,rewards,possibility
204.476360268,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[27.833048558563927, 204.47636026812683, 204.47636026812683, 204.47636026812683, 204.47636026812683, 204.47636026812683, 204.47636026812683, 204.47636026812683, 204.47636026812683]",200,"[201.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]","[0.1026820879101648, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, 0.75435716487988036]","[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
27.8330485586,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6987.692563888304, 2828.0058306354808, 27.833048558563927, 27.833048558563927, 204.47636026812683, 27.833048558563927, 27.833048558563927, 27.833048558563927, 27.833048558563927]",201,"[202.0, 216.0, 201.0, 201.0, 200.0, 201.0, 201.0, 201.0, 201.0]","[25.779097127095454, 10.433120277887152, -100.0, -100.0, 0.75435716487988036, -100.0, -100.0, -100.0, 0.1026820879101648]","[1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
6987.69256389,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[398.6984705943043, 5367.3194107563686, 2828.0058306354808, 6987.692563888304, 27.833048558563927, 6987.692563888304, 6987.692563888304, 6987.692563888304, 6987.692563888304]",202,"[203.0, 217.0, 216.0, 202.0, 201.0, 202.0, 202.0, 202.0, 202.0]","[1.4708842016019861, 19.801192902659718, 10.433120277887152, -100.0, 0.1026820879101648, -100.0, -100.0, -100.0, 25.779097127095454]","[1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
398.698470594,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[59.426096136225773, 520.23816169116617, 5367.3194107563686, 2828.0058306354808, 6987.692563888304, 398.6984705943043, 398.6984705943043, 398.6984705943043, 398.6984705943043]",203,"[204.0, 218.0, 217.0, 216.0, 202.0, 203.0, 203.0, 203.0, 203.0]","[0.21923561893619165, 1.9192701992595187, 19.801192902659718, 10.433120277887152, 25.779097127095454, -100.0, -100.0, -100.0, 1.4708842016019861]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
59.4260961362,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2625.6046535364953, 810.77613618007808, 520.23816169116617, 5367.3194107563686, 398.6984705943043, 59.426096136225773, 59.426096136225773, 59.426096136225773, 59.426096136225773]",204,"[205.0, 219.0, 218.0, 217.0, 203.0, 204.0, 204.0, 204.0, 204.0]","[9.6864189089634731, 2.9911271241285107, 1.9192701992595187, 19.801192902659718, 1.4708842016019861, -100.0, -100.0, -100.0, 0.21923561893619165]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
2625.60465354,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[117.10821593174538, 1397.3265986048805, 810.77613618007808, 520.23816169116617, 59.426096136225773, 2625.6046535364953, 2625.6046535364953, 2625.6046535364953, 2625.6046535364953]",205,"[206.0, 220.0, 219.0, 218.0, 204.0, 205.0, 205.0, 205.0, 205.0]","[0.43203733496904723, 5.1550376285680182, 2.9911271241285107, 1.9192701992595187, 0.21923561893619165, -100.0, -100.0, -100.0, 9.6864189089634731]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
117.108215932,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6503.1124620813889, 3242.2899632248409, 1397.3265986048805, 810.77613618007808, 2625.6046535364953, 117.10821593174538, 117.10821593174538, 117.10821593174538, 117.10821593174538]",206,"[207.0, 221.0, 220.0, 219.0, 205.0, 206.0, 206.0, 206.0, 206.0]","[23.991377161438141, 11.961503330603023, 5.1550376285680182, 2.9911271241285107, 9.6864189089634731, -100.0, -100.0, -100.0, 0.43203733496904723]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
6503.11246208,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5662.6011939136624, 7789.3216625243222, 3242.2899632248409, 1397.3265986048805, 117.10821593174538, 6503.1124620813889, 6503.1124620813889, 6503.1124620813889, 6503.1124620813889]",207,"[208.0, 222.0, 221.0, 220.0, 206.0, 207.0, 207.0, 207.0, 207.0]","[20.890550755524107, 28.736478867162266, 11.961503330603023, 5.1550376285680182, 0.43203733496904723, -100.0, -100.0, -100.0, 23.991377161438141]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
5662.60119391,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[10401.300864693019, 4657.762238106362, 7789.3216625243222, 3242.2899632248409, 6503.1124620813889, 5662.6011939136624, 5662.6011939136624, 5662.6011939136624, 5662.6011939136624]",208,"[209.0, 223.0, 222.0, 221.0, 207.0, 208.0, 208.0, 208.0, 208.0]","[38.372630562592875, 17.18348425223888, 28.736478867162266, 11.961503330603023, 23.991377161438141, -100.0, -100.0, -100.0, 20.890550755524107]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
10401.3008647,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4917.069395687734, 8820.6108346263663, 4657.762238106362, 7789.3216625243222, 5662.6011939136624, 10401.300864693019, 10401.300864693019, 10401.300864693019, 10401.300864693019]",209,"[210.0, 224.0, 223.0, 222.0, 208.0, 209.0, 209.0, 209.0, 209.0]","[18.140123992743082, 32.541125893439968, 17.18348425223888, 28.736478867162266, 20.890550755524107, -100.0, -100.0, -100.0, 38.372630562592875]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
4917.06939569,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5460.0915608473979, 3039.0995480755473, 8820.6108346263663, 4657.762238106362, 10401.300864693019, 4917.069395687734, 4917.069395687734, 4917.069395687734, 4917.069395687734]",210,"[211.0, 225.0, 224.0, 223.0, 209.0, 210.0, 210.0, 210.0, 210.0]","[20.143449269267141, 11.211890293175149, 32.541125893439968, 17.18348425223888, 38.372630562592875, -100.0, -100.0, -100.0, 18.140123992743082]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
5460.09156085,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 368.74319393915891, 3039.0995480755473, 8820.6108346263663, 4917.069395687734, 5460.0915608473979, 5460.0915608473979, 5460.0915608473979, 5460.0915608473979]",211,"[212.0, 226.0, 225.0, 224.0, 210.0, 211.0, 211.0, 211.0, 211.0]","[0.0, 1.360372758904469, 11.211890293175149, 32.541125893439968, 18.140123992743082, -100.0, -100.0, -100.0, 20.143449269267141]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1787.4761348389152, 523.67040100152008, 368.74319393915891, 3039.0995480755473, 5460.0915608473979, 0.0, 0.0, 0.0, 0.0]",212,"[213.0, 227.0, 226.0, 225.0, 211.0, 212.0, 212.0, 212.0, 212.0]","[6.5943829770805777, 1.9319324664866584, 1.360372758904469, 11.211890293175149, 20.143449269267141, -100.0, -100.0, -100.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1787.47613484,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3122.694838706941, 1154.5760044174085, 523.67040100152008, 368.74319393915891, 0.0, 1787.4761348389152, 1787.4761348389152, 1787.4761348389152, 1787.4761348389152]",213,"[214.0, 228.0, 227.0, 226.0, 212.0, 213.0, 213.0, 213.0, 213.0]","[11.520291256275808, 4.2594786027518099, 1.9319324664866584, 1.360372758904469, 0.0, -100.0, -100.0, -100.0, 6.5943829770805777]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
3122.69483871,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[605.23357218040167, 1.7908220478542096, 1154.5760044174085, 523.67040100152008, 1787.4761348389152, 3122.694838706941, 3122.694838706941, 3122.694838706941, 3122.694838706941]",214,"[215.0, 229.0, 228.0, 227.0, 213.0, 214.0, 214.0, 214.0, 214.0]","[2.232836504921385, 0.0066067267680833246, 4.2594786027518099, 1.9319324664866584, 6.5943829770805777, -100.0, -100.0, -100.0, 11.520291256275808]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
605.23357218,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[605.23357218040167, 605.23357218040167, 1.7908220478542096, 1154.5760044174085, 3122.694838706941, 605.23357218040167, 605.23357218040167, 605.23357218040167, 605.23357218040167]",215,"[215.0, 215.0, 229.0, 228.0, 214.0, 215.0, 215.0, 215.0, 215.0]","[-100.0, -100.0, 0.0066067267680833246, 4.2594786027518099, 11.520291256275808, -100.0, -100.0, -100.0, 2.232836504921385]","[-1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
2828.00583064,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5367.3194107563686, 7954.8005803023661, 539.73390404764643, 2828.0058306354808, 2828.0058306354808, 27.833048558563927, 6987.692563888304, 398.6984705943043, 2828.0058306354808]",216,"[217.0, 231.0, 230.0, 216.0, 216.0, 201.0, 202.0, 203.0, 216.0]","[19.801192902659718, 29.346966099518845, 1.9911941757621243, -100.0, -100.0, 0.1026820879101648, 25.779097127095454, 1.4708842016019861, 10.433120277887152]","[1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
5367.31941076,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[520.23816169116617, 4840.9176949092262, 7954.8005803023661, 539.73390404764643, 2828.0058306354808, 6987.692563888304, 398.6984705943043, 59.426096136225773, 5367.3194107563686]",217,"[218.0, 232.0, 231.0, 230.0, 216.0, 202.0, 203.0, 204.0, 217.0]","[1.9192701992595187, 17.859184029684624, 29.346966099518845, 1.9911941757621243, 10.433120277887152, 25.779097127095454, 1.4708842016019861, 0.21923561893619165, 19.801192902659718]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
520.238161691,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[810.77613618007808, 3833.6107559571492, 4840.9176949092262, 7954.8005803023661, 5367.3194107563686, 398.6984705943043, 59.426096136225773, 2625.6046535364953, 520.23816169116617]",218,"[219.0, 233.0, 232.0, 231.0, 217.0, 203.0, 204.0, 205.0, 218.0]","[2.9911271241285107, 14.143012607055059, 17.859184029684624, 29.346966099518845, 19.801192902659718, 1.4708842016019861, 0.21923561893619165, 9.6864189089634731, 1.9192701992595187]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
810.77613618,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1397.3265986048805, 2084.1954157750629, 3833.6107559571492, 4840.9176949092262, 520.23816169116617, 59.426096136225773, 2625.6046535364953, 117.10821593174538, 810.77613618007808]",219,"[220.0, 234.0, 233.0, 232.0, 218.0, 204.0, 205.0, 206.0, 219.0]","[5.1550376285680182, 7.689044067676484, 14.143012607055059, 17.859184029684624, 1.9192701992595187, 0.21923561893619165, 9.6864189089634731, 0.43203733496904723, 2.9911271241285107]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1397.3265986,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3242.2899632248409, 356.01840599173744, 2084.1954157750629, 3833.6107559571492, 810.77613618007808, 2625.6046535364953, 117.10821593174538, 6503.1124620813889, 1397.3265986048805]",220,"[221.0, 235.0, 234.0, 233.0, 219.0, 205.0, 206.0, 207.0, 220.0]","[11.961503330603023, 1.3134282859730873, 7.689044067676484, 14.143012607055059, 2.9911271241285107, 9.6864189089634731, 0.43203733496904723, 23.991377161438141, 5.1550376285680182]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3242.28996322,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[7789.3216625243222, 4045.8996109708119, 356.01840599173744, 2084.1954157750629, 1397.3265986048805, 117.10821593174538, 6503.1124620813889, 5662.6011939136624, 3242.2899632248409]",221,"[222.0, 236.0, 235.0, 234.0, 220.0, 206.0, 207.0, 208.0, 221.0]","[28.736478867162266, 14.926191741277282, 1.3134282859730873, 7.689044067676484, 5.1550376285680182, 0.43203733496904723, 23.991377161438141, 20.890550755524107, 11.961503330603023]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7789.32166252,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4657.762238106362, 1773.2832490996047, 4045.8996109708119, 356.01840599173744, 3242.2899632248409, 6503.1124620813889, 5662.6011939136624, 10401.300864693019, 7789.3216625243222]",222,"[223.0, 237.0, 236.0, 235.0, 221.0, 207.0, 208.0, 209.0, 222.0]","[17.18348425223888, 6.5420223764041427, 14.926191741277282, 1.3134282859730873, 11.961503330603023, 23.991377161438141, 20.890550755524107, 38.372630562592875, 28.736478867162266]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
