,actions,next_state,start,positions,rewards
152.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[185.0, 491.0, 2397.0, 0.0, 152.0, 152.0, 152.0, 152.0]",0,"[1.0, 11.0, 10.0, 9.0, 0.0, 0.0, 0.0, 0.0]","[0.20640640864006068, 0.54781376563389084, 2.6743576297850025, 0.0, -10.0, -10.0, -10.0, -10.0]"
185.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 258.0, 491.0, 2397.0, 152.0, 185.0, 185.0, 185.0]",1,"[2.0, 12.0, 11.0, 10.0, 0.0, 1.0, 1.0, 1.0]","[0.0, 0.28785326177911169, 0.54781376563389084, 2.6743576297850025, 0.16958796817994176, -10.0, -10.0, -10.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1747.0, 0.0, 258.0, 491.0, 185.0, 0.0, 0.0, 0.0]",2,"[3.0, 13.0, 12.0, 11.0, 1.0, 2.0, 2.0, 2.0]","[1.949145923752357, 0.0, 0.28785326177911169, 0.54781376563389084, 0.20640640864006068, -10.0, -10.0, -10.0]"
1747.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 989.0, 0.0, 258.0, 0.0, 1747.0, 1747.0, 1747.0]",3,"[4.0, 14.0, 13.0, 12.0, 2.0, 3.0, 3.0, 3.0]","[0.0, 1.1034375034865946, 0.0, 0.28785326177911169, 0.0, -10.0, -10.0, -10.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[790.0, 84.0, 989.0, 0.0, 1747.0, 0.0, 0.0, 0.0]",4,"[5.0, 15.0, 14.0, 13.0, 3.0, 4.0, 4.0, 4.0]","[0.88141115040890783, 0.093719666625757286, 1.1034375034865946, 0.0, 1.949145923752357, -10.0, -10.0, -10.0]"
790.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[439.0, 75.0, 84.0, 989.0, 0.0, 790.0, 790.0, 790.0]",5,"[6.0, 16.0, 15.0, 14.0, 4.0, 5.0, 5.0, 5.0]","[0.48979682915127914, 0.08367827377299758, 0.093719666625757286, 1.1034375034865946, 0.0, -10.0, -10.0, -10.0]"
439.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[4121.0, 5004.0, 75.0, 84.0, 790.0, 439.0, 439.0, 439.0]",6,"[7.0, 17.0, 16.0, 15.0, 5.0, 6.0, 6.0, 6.0]","[4.5978422162469732, 5.5830144261343984, 0.08367827377299758, 0.093719666625757286, 0.88141115040890783, -10.0, -10.0, -10.0]"
4121.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3792.0, 6345.0, 5004.0, 75.0, 439.0, 4121.0, 4121.0, 4121.0]",7,"[8.0, 18.0, 17.0, 16.0, 6.0, 7.0, 7.0, 7.0]","[4.2307735219627576, 7.0791819611955953, 5.5830144261343984, 0.08367827377299758, 0.48979682915127914, -10.0, -10.0, -10.0]"
3792.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3792.0, 3792.0, 6345.0, 5004.0, 4121.0, 3792.0, 3792.0, 3792.0]",8,"[8.0, 8.0, 18.0, 17.0, 7.0, 8.0, 8.0, 8.0]","[-10.0, -10.0, 7.0791819611955953, 5.5830144261343984, 4.5978422162469732, -10.0, -10.0, -10.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[2397.0, 1603.0, 4583.0, 0.0, 0.0, 0.0, 0.0, 152.0]",9,"[10.0, 20.0, 19.0, 9.0, 9.0, 9.0, 9.0, 0.0]","[2.6743576297850025, 1.7884836381082017, 5.1133003826886387, -10.0, -10.0, -10.0, -10.0, 0.16958796817994176]"
