,actions,next_state,rewards
152.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[185.0, 491.0, 2397.0, 152.0, 152.0, 152.0, 152.0, 152.0]","[4.0440814481471632, 10.37740783814578, 41.425546172002804, 0.0, 0.0, 0.0, 0.0, 0.0]"
185.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[185.0, 258.0, 491.0, 2397.0, 152.0, 185.0, 185.0, 185.0]","[0.0, 5.5944811692959835, 10.37740783814578, 41.425546172002804, 3.3348840437247618, 0.0, 0.0, 0.0]"
1747.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1747.0, 989.0, 1747.0, 258.0, 1747.0, 1747.0, 1747.0, 1747.0]","[0.0, 19.803274465604058, 0.0, 5.5944811692959835, 0.0, 0.0, 0.0, 0.0]"
790.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[439.0, 75.0, 84.0, 989.0, 790.0, 790.0, 790.0, 790.0]","[9.3314254572115178, 1.6596391653226461, 1.8569358249693524, 19.803274465604058, 0.0, 0.0, 0.0, 0.0]"
439.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[4121.0, 5004.0, 75.0, 84.0, 790.0, 439.0, 439.0, 439.0]","[60.130893821738404, 67.260991063490977, 1.6596391653226461, 1.8569358249693524, 16.161866648852609, 0.0, 0.0, 0.0]"
4121.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3792.0, 6345.0, 5004.0, 75.0, 439.0, 4121.0, 4121.0, 4121.0]","[57.093836729434955, 75.727748270316695, 67.260991063490977, 1.6596391653226461, 9.3314254572115178, 0.0, 0.0, 0.0]"
3792.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3792.0, 3792.0, 6345.0, 5004.0, 4121.0, 3792.0, 3792.0, 3792.0]","[0.0, 0.0, 75.727748270316695, 67.260991063490977, 60.130893821738404, 0.0, 0.0, 0.0]"
2397.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[491.0, 872.0, 1603.0, 4583.0, 2397.0, 2397.0, 152.0, 185.0]","[10.37740783814578, 17.681957942920377, 30.071488328779893, 64.036299531118317, 0.0, 0.0, 3.3348840437247618, 4.0440814481471632]"
491.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[258.0, 218.0, 872.0, 1603.0, 2397.0, 152.0, 185.0, 491.0]","[5.5944811692959835, 4.7480757247042149, 17.681957942920377, 30.071488328779893, 41.425546172002804, 3.3348840437247618, 4.0440814481471632, 0.0]"
258.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[258.0, 2943.0, 218.0, 872.0, 491.0, 185.0, 258.0, 1747.0]","[0.0, 48.144391665933959, 4.7480757247042149, 17.681957942920377, 10.37740783814578, 4.0440814481471632, 0.0, 32.282746398477855]"
989.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[84.0, 464.0, 652.0, 2943.0, 989.0, 1747.0, 989.0, 790.0]","[1.8569358249693524, 9.835816583402945, 13.540027544829879, 48.144391665933959, 0.0, 32.282746398477855, 0.0, 16.161866648852609]"
84.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[75.0, 711.0, 464.0, 652.0, 989.0, 84.0, 790.0, 439.0]","[1.6596391653226461, 14.670845926196584, 9.835816583402945, 13.540027544829879, 19.803274465604058, 0.0, 16.161866648852609, 9.3314254572115178]"
75.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[5004.0, 9717.0, 711.0, 464.0, 84.0, 790.0, 439.0, 4121.0]","[67.260991063490977, 88.562484840950049, 14.670845926196584, 9.835816583402945, 1.8569358249693524, 16.161866648852609, 9.3314254572115178, 60.130893821738404]"
5004.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[6345.0, 5004.0, 9717.0, 711.0, 75.0, 439.0, 4121.0, 3792.0]","[75.727748270316695, 0.0, 88.562484840950049, 14.670845926196584, 1.6596391653226461, 9.3314254572115178, 60.130893821738404, 57.093836729434955]"
6345.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[6345.0, 6345.0, 6345.0, 9717.0, 5004.0, 4121.0, 3792.0, 6345.0]","[0.0, 0.0, 0.0, 88.562484840950049, 67.260991063490977, 60.130893821738404, 57.093836729434955, 0.0]"
4583.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1603.0, 2492.0, 4144.0, 4583.0, 4583.0, 4583.0, 4583.0, 2397.0]","[30.071488328779893, 42.654168021688079, 60.334988555588652, 0.0, 0.0, 0.0, 0.0, 41.425546172002804]"
1603.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[872.0, 1473.0, 2492.0, 4144.0, 4583.0, 1603.0, 2397.0, 491.0]","[17.681957942920377, 28.013260632106117, 42.654168021688079, 60.334988555588652, 64.036299531118317, 0.0, 41.425546172002804, 10.37740783814578]"
872.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[218.0, 3724.0, 1473.0, 2492.0, 1603.0, 2397.0, 491.0, 258.0]","[4.7480757247042149, 56.437828748147844, 28.013260632106117, 42.654168021688079, 30.071488328779893, 41.425546172002804, 10.37740783814578, 5.5944811692959835]"
218.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[2943.0, 7058.0, 3724.0, 1473.0, 872.0, 491.0, 258.0, 218.0]","[48.144391665933959, 79.29793398976625, 56.437828748147844, 28.013260632106117, 17.681957942920377, 10.37740783814578, 5.5944811692959835, 0.0]"
2943.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[652.0, 839.0, 7058.0, 3724.0, 218.0, 258.0, 2943.0, 989.0]","[13.540027544829879, 17.073556265930879, 79.29793398976625, 56.437828748147844, 4.7480757247042149, 5.5944811692959835, 0.0, 19.803274465604058]"
652.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[464.0, 1576.0, 839.0, 7058.0, 2943.0, 652.0, 989.0, 84.0]","[9.835816583402945, 29.648908826616871, 17.073556265930879, 79.29793398976625, 48.144391665933959, 0.0, 19.803274465604058, 1.8569358249693524]"
464.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[711.0, 1469.0, 1576.0, 839.0, 652.0, 989.0, 84.0, 75.0]","[14.670845926196584, 27.948978870205366, 29.648908826616871, 17.073556265930879, 13.540027544829879, 19.803274465604058, 1.8569358249693524, 1.6596391653226461]"
