,actions,next_state,start,positions,rewards,possibility
152.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[185.0, 491.0, 2397.0, 0.0, 152.0, 152.0, 152.0, 152.0, 152.0]",0,"[1.0, 11.0, 10.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.1281281728012136, 10.956275312677816, 53.487152595700053, 0.0, -100.0, -100.0, -100.0, -100.0, 3.391759363598835]","[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
185.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 258.0, 491.0, 2397.0, 152.0, 185.0, 185.0, 185.0, 185.0]",1,"[2.0, 12.0, 11.0, 10.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 5.7570652355822336, 10.956275312677816, 53.487152595700053, 3.391759363598835, -100.0, -100.0, -100.0, 4.1281281728012136]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1747.0, 0.0, 258.0, 491.0, 185.0, 0.0, 0.0, 0.0, 0.0]",2,"[3.0, 13.0, 12.0, 11.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[38.982918475047136, 0.0, 5.7570652355822336, 10.956275312677816, 4.1281281728012136, -100.0, -100.0, -100.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1747.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 989.0, 0.0, 258.0, 0.0, 1747.0, 1747.0, 1747.0, 1747.0]",3,"[4.0, 14.0, 13.0, 12.0, 2.0, 3.0, 3.0, 3.0, 3.0]","[0.0, 22.068750069731895, 0.0, 5.7570652355822336, 0.0, -100.0, -100.0, -100.0, 38.982918475047136]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[790.0, 84.0, 989.0, 0.0, 1747.0, 0.0, 0.0, 0.0, 0.0]",4,"[5.0, 15.0, 14.0, 13.0, 3.0, 4.0, 4.0, 4.0, 4.0]","[17.628223008178157, 1.8743933325151458, 22.068750069731895, 0.0, 38.982918475047136, -100.0, -100.0, -100.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
790.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[439.0, 75.0, 84.0, 989.0, 0.0, 790.0, 790.0, 790.0, 790.0]",5,"[6.0, 16.0, 15.0, 14.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[9.7959365830255827, 1.6735654754599516, 1.8743933325151458, 22.068750069731895, 0.0, -100.0, -100.0, -100.0, 17.628223008178157]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
439.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4121.0, 5004.0, 75.0, 84.0, 790.0, 439.0, 439.0, 439.0, 439.0]",6,"[7.0, 17.0, 16.0, 15.0, 5.0, 6.0, 6.0, 6.0, 6.0]","[91.956844324939468, 111.66028852268796, 1.6735654754599516, 1.8743933325151458, 17.628223008178157, -100.0, -100.0, -100.0, 9.7959365830255827]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
4121.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3792.0, 6345.0, 5004.0, 75.0, 439.0, 4121.0, 4121.0, 4121.0, 4121.0]",7,"[8.0, 18.0, 17.0, 16.0, 6.0, 7.0, 7.0, 7.0, 7.0]","[84.615470439255148, 141.58363922391192, 111.66028852268796, 1.6735654754599516, 9.7959365830255827, -100.0, -100.0, -100.0, 91.956844324939468]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
3792.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3792.0, 3792.0, 6345.0, 5004.0, 4121.0, 3792.0, 3792.0, 3792.0, 3792.0]",8,"[8.0, 8.0, 18.0, 17.0, 7.0, 8.0, 8.0, 8.0, 8.0]","[-100.0, -100.0, 141.58363922391192, 111.66028852268796, 91.956844324939468, -100.0, -100.0, -100.0, 84.615470439255148]","[-1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2397.0, 1603.0, 4583.0, 0.0, 0.0, 0.0, 0.0, 152.0, 0.0]",9,"[10.0, 20.0, 19.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0]","[53.487152595700053, 35.769672762164035, 102.26600765377277, -100.0, -100.0, -100.0, -100.0, 3.391759363598835, 0.0]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
2397.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[491.0, 872.0, 1603.0, 4583.0, 0.0, 2397.0, 152.0, 185.0, 2397.0]",10,"[11.0, 21.0, 20.0, 19.0, 9.0, 10.0, 0.0, 1.0, 10.0]","[10.956275312677816, 19.457987928014369, 35.769672762164035, 102.26600765377277, 0.0, -100.0, 3.391759363598835, 4.1281281728012136, 53.487152595700053]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
491.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[258.0, 218.0, 872.0, 1603.0, 2397.0, 152.0, 185.0, 0.0, 491.0]",11,"[12.0, 22.0, 21.0, 20.0, 10.0, 0.0, 1.0, 2.0, 11.0]","[5.7570652355822336, 4.8644969820035922, 19.457987928014369, 35.769672762164035, 53.487152595700053, 3.391759363598835, 4.1281281728012136, 0.0, 10.956275312677816]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
258.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 2943.0, 218.0, 872.0, 491.0, 185.0, 0.0, 1747.0, 258.0]",12,"[13.0, 23.0, 22.0, 21.0, 11.0, 1.0, 2.0, 3.0, 12.0]","[0.0, 65.6707092570485, 4.8644969820035922, 19.457987928014369, 10.956275312677816, 4.1281281728012136, 0.0, 38.982918475047136, 5.7570652355822336]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[989.0, 652.0, 2943.0, 218.0, 258.0, 0.0, 1747.0, 0.0, 0.0]",13,"[14.0, 24.0, 23.0, 22.0, 12.0, 2.0, 3.0, 4.0, 13.0]","[22.068750069731895, 14.548862533331846, 65.6707092570485, 4.8644969820035922, 5.7570652355822336, 0.0, 38.982918475047136, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
989.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[84.0, 464.0, 652.0, 2943.0, 0.0, 1747.0, 0.0, 790.0, 989.0]",14,"[15.0, 25.0, 24.0, 23.0, 13.0, 3.0, 4.0, 5.0, 14.0]","[1.8743933325151458, 10.353791741512234, 14.548862533331846, 65.6707092570485, 0.0, 38.982918475047136, 0.0, 17.628223008178157, 22.068750069731895]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
84.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[75.0, 711.0, 464.0, 652.0, 989.0, 0.0, 790.0, 439.0, 84.0]",15,"[16.0, 26.0, 25.0, 24.0, 14.0, 4.0, 5.0, 6.0, 15.0]","[1.6735654754599516, 15.86540070736034, 10.353791741512234, 14.548862533331846, 22.068750069731895, 0.0, 17.628223008178157, 9.7959365830255827, 1.8743933325151458]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
75.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5004.0, 9717.0, 711.0, 464.0, 84.0, 790.0, 439.0, 4121.0, 75.0]",16,"[17.0, 27.0, 26.0, 25.0, 15.0, 5.0, 6.0, 7.0, 16.0]","[111.66028852268796, 216.82714300059132, 15.86540070736034, 10.353791741512234, 1.8743933325151458, 17.628223008178157, 9.7959365830255827, 91.956844324939468, 1.6735654754599516]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5004.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6345.0, 0.0, 9717.0, 711.0, 75.0, 439.0, 4121.0, 3792.0, 5004.0]",17,"[18.0, 28.0, 27.0, 26.0, 16.0, 6.0, 7.0, 8.0, 17.0]","[141.58363922391192, 0.0, 216.82714300059132, 15.86540070736034, 1.6735654754599516, 9.7959365830255827, 91.956844324939468, 84.615470439255148, 111.66028852268796]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6345.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6345.0, 6345.0, 0.0, 9717.0, 5004.0, 4121.0, 3792.0, 6345.0, 6345.0]",18,"[18.0, 18.0, 28.0, 27.0, 17.0, 7.0, 8.0, 18.0, 18.0]","[-100.0, -100.0, 0.0, 216.82714300059132, 111.66028852268796, 91.956844324939468, 84.615470439255148, -100.0, 141.58363922391192]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
