episodes,explore,cost_function,episode_reward,wander,cells,total_rewards
0,80,nan,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",1120.3144245686929
1,77,nan,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",175.97355914517857
2,79,nan,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",26.359573693389002
3,80,nan,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",1269.5979490511754
4,79,nan,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",-257.37135163701214
5,79,nan,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",909.48512723519775
6,74,nan,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",1558.11230596824
7,80,nan,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",699.96664882907066
8,81,nan,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",-197.41214847285073
9,75,1717.5402587890626,826.68652417055,0,"[319, 336, 354, 372, 373, 398, 423, 448, 447]",925.57183588490341
10,78,1331.6981445312499,711.65910919655005,0,"[319, 336, 354, 372, 398, 423, 448, 447]",710.65485307417384
11,78,1075.2560668945312,711.65910919655005,0,"[319, 336, 354, 372, 398, 423, 448, 447]",1459.6649256717278
12,85,1018.660595703125,711.65910919655005,0,"[319, 336, 354, 372, 398, 423, 448, 447]",534.55531475110888
13,79,952.10322265624995,711.65910919655005,0,"[319, 336, 354, 372, 398, 423, 448, 447]",1123.918525235918
14,76,871.73646850585942,711.65910919655005,0,"[319, 336, 354, 372, 398, 423, 448, 447]",226.07413941981764
15,82,758.78610839843748,711.65910919655005,0,"[319, 336, 354, 372, 398, 423, 448, 447]",-10.627964454262809
16,76,672.3892822265625,711.65910919655005,0,"[319, 336, 354, 372, 398, 423, 448, 447]",829.48319843234435
17,79,633.69107055664062,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",147.18307221970747
18,78,604.34294738769529,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",-668.33120535150726
19,82,576.34714660644534,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",970.95246656660186
20,75,568.46798400878902,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",1268.1322680040005
21,82,593.9562866210938,1098.2510795078902,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447, 469]",-233.54999623924166
22,83,607.47219848632812,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",720.86504920776008
23,81,690.8770751953125,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",1190.1657604622062
24,79,647.39520568847661,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",917.23708026316262
25,79,534.12109680175786,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",478.45954277546389
26,84,492.54112243652344,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",583.77604240162964
27,78,434.38505249023439,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",1423.6905579277595
28,89,402.44614562988284,926.42623030889001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 447]",-362.17183770910412
29,84,408.23764038085938,972.74890969589001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 469]",-11.828530984203629
30,78,426.50388793945314,972.74890969589001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 469]",1214.9226664209928
31,85,413.9576385498047,972.74890969589001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 469]",239.56348221169182
32,75,407.8774353027344,972.74890969589001,0,"[319, 337, 354, 373, 399, 400, 423, 448, 469]",875.141774194042
33,72,426.2729553222656,837.55892790169003,0,"[319, 337, 355, 373, 399, 400, 423, 448, 447]",1419.4494433318448
34,72,494.27937316894531,769.28356171069004,0,"[319, 337, 355, 373, 398, 423, 448, 469]",1489.1382089040826
35,77,426.89485778808591,769.28356171069004,0,"[319, 337, 355, 373, 398, 423, 448, 469]",530.78720486074667
36,83,413.6049865722656,769.28356171069004,0,"[319, 337, 355, 373, 398, 423, 448, 469]",977.68733193921844
37,71,431.25306091308596,858.15086411788991,0,"[319, 337, 354, 373, 398, 423, 448, 469]",1058.2206883865952
38,75,478.05916748046877,858.15086411788991,0,"[319, 337, 354, 373, 398, 423, 448, 469]",891.76268521564771
39,79,637.12048645019536,858.15086411788991,0,"[319, 337, 354, 373, 398, 423, 448, 469]",976.25952790757833
40,76,568.40555725097659,993.18633136588994,0,"[319, 337, 354, 373, 399, 398, 423, 448, 469]",-14.399456354994783
41,79,584.06604309082036,993.18633136588994,0,"[319, 337, 354, 373, 399, 398, 423, 448, 469]",1608.5586208170853
42,80,598.2241333007812,993.18633136588994,0,"[319, 337, 354, 373, 399, 398, 423, 448, 469]",1412.5028032059365
43,80,600.89874572753911,993.18633136588994,0,"[319, 337, 354, 373, 399, 398, 423, 448, 469]",-16.876291196631314
44,80,565.60965576171873,993.18633136588994,0,"[319, 337, 354, 373, 399, 398, 423, 448, 469]",960.81174617270597
45,78,654.12344970703123,973.05733785253994,0,"[318, 337, 354, 373, 399, 398, 423, 448, 469]",451.42706173764037
46,77,561.25678710937495,973.05733785253994,0,"[318, 337, 354, 373, 399, 398, 423, 448, 469]",1987.2143065745238
