pose,center,size,color,value,total_dust
"(0.5, 0.875, 0)","(0.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,11021,4036951
"(0.875, 0.5, 0)","(0.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,12017,4036951
"(0.5, 0.125, 0)","(0.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,12458,4036951
"(0.125, 0.5, 0)","(0.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,14784,4036951
"(0.5, 1.875, 0)","(0.5, 1.5, 0)","[0.4, 0.25, 0]",Gray,1465,4036951
"(0.875, 1.5, 0)","(0.5, 1.5, 0)","[0.25, 0.4, 0]",Gray,995,4036951
"(0.5, 1.125, 0)","(0.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,13061,4036951
"(0.125, 1.5, 0)","(0.5, 1.5, 0)","[0.25, 0.4, 0]",Green,7555,4036951
"(0.5, 2.875, 0)","(0.5, 2.5, 0)","[0.4, 0.25, 0]",Yellow,16388,4036951
"(0.875, 2.5, 0)","(0.5, 2.5, 0)","[0.25, 0.4, 0]",Green,4709,4036951
"(0.5, 2.125, 0)","(0.5, 2.5, 0)","[0.4, 0.25, 0]",Gray,2849,4036951
"(0.125, 2.5, 0)","(0.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,10327,4036951
"(0.5, 3.875, 0)","(0.5, 3.5, 0)","[0.4, 0.25, 0]",Yellow,12607,4036951
"(0.875, 3.5, 0)","(0.5, 3.5, 0)","[0.25, 0.4, 0]",Green,9883,4036951
"(0.5, 3.125, 0)","(0.5, 3.5, 0)","[0.4, 0.25, 0]",Green,5780,4036951
"(0.125, 3.5, 0)","(0.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,11447,4036951
"(0.5, 4.875, 0)","(0.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,16984,4036951
"(0.875, 4.5, 0)","(0.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,12607,4036951
"(0.5, 4.125, 0)","(0.5, 4.5, 0)","[0.4, 0.25, 0]",Gray,529,4036951
"(0.125, 4.5, 0)","(0.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,10665,4036951
"(0.5, 5.875, 0)","(0.5, 5.5, 0)","[0.4, 0.25, 0]",Green,6439,4036951
"(0.875, 5.5, 0)","(0.5, 5.5, 0)","[0.25, 0.4, 0]",Green,7854,4036951
"(0.5, 5.125, 0)","(0.5, 5.5, 0)","[0.4, 0.25, 0]",Yellow,15397,4036951
"(0.125, 5.5, 0)","(0.5, 5.5, 0)","[0.25, 0.4, 0]",Yellow,11752,4036951
"(0.5, 6.875, 0)","(0.5, 6.5, 0)","[0.4, 0.25, 0]",Green,4999,4036951
"(0.875, 6.5, 0)","(0.5, 6.5, 0)","[0.25, 0.4, 0]",Green,4943,4036951
"(0.5, 6.125, 0)","(0.5, 6.5, 0)","[0.4, 0.25, 0]",Gray,1690,4036951
"(0.125, 6.5, 0)","(0.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,11516,4036951
"(0.5, 7.875, 0)","(0.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,16841,4036951
"(0.875, 7.5, 0)","(0.5, 7.5, 0)","[0.25, 0.4, 0]",Yellow,10653,4036951
"(0.5, 7.125, 0)","(0.5, 7.5, 0)","[0.4, 0.25, 0]",Gray,1322,4036951
"(0.125, 7.5, 0)","(0.5, 7.5, 0)","[0.25, 0.4, 0]",Green,6503,4036951
"(0.5, 8.875, 0)","(0.5, 8.5, 0)","[0.4, 0.25, 0]",Green,7777,4036951
"(0.875, 8.5, 0)","(0.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,17828,4036951
"(0.5, 8.125, 0)","(0.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,17244,4036951
"(0.125, 8.5, 0)","(0.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,14216,4036951
"(0.5, 9.875, 0)","(0.5, 9.5, 0)","[0.4, 0.25, 0]",Gray,3644,4036951
"(0.875, 9.5, 0)","(0.5, 9.5, 0)","[0.25, 0.4, 0]",Green,8650,4036951
"(0.5, 9.125, 0)","(0.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,11334,4036951
"(0.125, 9.5, 0)","(0.5, 9.5, 0)","[0.25, 0.4, 0]",Gray,3486,4036951
"(1.5, 0.875, 0)","(1.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,304,4036951
"(1.875, 0.5, 0)","(1.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,17707,4036951
"(1.5, 0.125, 0)","(1.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,10197,4036951
"(1.125, 0.5, 0)","(1.5, 0.5, 0)","[0.25, 0.4, 0]",Green,6077,4036951
"(1.5, 1.875, 0)","(1.5, 1.5, 0)","[0.4, 0.25, 0]",Green,8737,4036951
"(1.875, 1.5, 0)","(1.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,15494,4036951
"(1.5, 1.125, 0)","(1.5, 1.5, 0)","[0.4, 0.25, 0]",Green,4436,4036951
"(1.125, 1.5, 0)","(1.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,16326,4036951
"(1.5, 2.875, 0)","(1.5, 2.5, 0)","[0.4, 0.25, 0]",Red,18843,4036951
"(1.875, 2.5, 0)","(1.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,12215,4036951
"(1.5, 2.125, 0)","(1.5, 2.5, 0)","[0.4, 0.25, 0]",Green,8817,4036951
"(1.125, 2.5, 0)","(1.5, 2.5, 0)","[0.25, 0.4, 0]",Green,5997,4036951
"(1.5, 3.875, 0)","(1.5, 3.5, 0)","[0.4, 0.25, 0]",Green,5340,4036951
"(1.875, 3.5, 0)","(1.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,15179,4036951
"(1.5, 3.125, 0)","(1.5, 3.5, 0)","[0.4, 0.25, 0]",Green,8044,4036951
"(1.125, 3.5, 0)","(1.5, 3.5, 0)","[0.25, 0.4, 0]",Green,4125,4036951
"(1.5, 4.875, 0)","(1.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,10934,4036951
"(1.875, 4.5, 0)","(1.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,16925,4036951
"(1.5, 4.125, 0)","(1.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,15410,4036951
"(1.125, 4.5, 0)","(1.5, 4.5, 0)","[0.25, 0.4, 0]",Red,19150,4036951
"(1.5, 5.875, 0)","(1.5, 5.5, 0)","[0.4, 0.25, 0]",Green,6182,4036951
"(1.875, 5.5, 0)","(1.5, 5.5, 0)","[0.25, 0.4, 0]",Gray,771,4036951
"(1.5, 5.125, 0)","(1.5, 5.5, 0)","[0.4, 0.25, 0]",Yellow,12551,4036951
"(1.125, 5.5, 0)","(1.5, 5.5, 0)","[0.25, 0.4, 0]",Green,4717,4036951
"(1.5, 6.875, 0)","(1.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,12842,4036951
"(1.875, 6.5, 0)","(1.5, 6.5, 0)","[0.25, 0.4, 0]",Green,9849,4036951
"(1.5, 6.125, 0)","(1.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,17578,4036951
"(1.125, 6.5, 0)","(1.5, 6.5, 0)","[0.25, 0.4, 0]",Green,7295,4036951
"(1.5, 7.875, 0)","(1.5, 7.5, 0)","[0.4, 0.25, 0]",Green,9751,4036951
"(1.875, 7.5, 0)","(1.5, 7.5, 0)","[0.25, 0.4, 0]",Gray,364,4036951
"(1.5, 7.125, 0)","(1.5, 7.5, 0)","[0.4, 0.25, 0]",Green,7285,4036951
"(1.125, 7.5, 0)","(1.5, 7.5, 0)","[0.25, 0.4, 0]",Green,8067,4036951
"(1.5, 8.875, 0)","(1.5, 8.5, 0)","[0.4, 0.25, 0]",Gray,2015,4036951
"(1.875, 8.5, 0)","(1.5, 8.5, 0)","[0.25, 0.4, 0]",Red,19888,4036951
"(1.5, 8.125, 0)","(1.5, 8.5, 0)","[0.4, 0.25, 0]",Red,19799,4036951
"(1.125, 8.5, 0)","(1.5, 8.5, 0)","[0.25, 0.4, 0]",Red,19169,4036951
"(1.5, 9.875, 0)","(1.5, 9.5, 0)","[0.4, 0.25, 0]",Gray,1147,4036951
"(1.875, 9.5, 0)","(1.5, 9.5, 0)","[0.25, 0.4, 0]",Gray,3333,4036951
"(1.5, 9.125, 0)","(1.5, 9.5, 0)","[0.4, 0.25, 0]",Red,18461,4036951
"(1.125, 9.5, 0)","(1.5, 9.5, 0)","[0.25, 0.4, 0]",Gray,2503,4036951
"(2.5, 0.875, 0)","(2.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,2175,4036951
"(2.875, 0.5, 0)","(2.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,16665,4036951
"(2.5, 0.125, 0)","(2.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,16199,4036951
"(2.125, 0.5, 0)","(2.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,10792,4036951
"(2.5, 1.875, 0)","(2.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,10112,4036951
"(2.875, 1.5, 0)","(2.5, 1.5, 0)","[0.25, 0.4, 0]",Green,4531,4036951
"(2.5, 1.125, 0)","(2.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,11101,4036951
"(2.125, 1.5, 0)","(2.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,11502,4036951
"(2.5, 2.875, 0)","(2.5, 2.5, 0)","[0.4, 0.25, 0]",Green,5355,4036951
"(2.875, 2.5, 0)","(2.5, 2.5, 0)","[0.25, 0.4, 0]",Gray,2060,4036951
"(2.5, 2.125, 0)","(2.5, 2.5, 0)","[0.4, 0.25, 0]",Yellow,17242,4036951
"(2.125, 2.5, 0)","(2.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,14008,4036951
"(2.5, 3.875, 0)","(2.5, 3.5, 0)","[0.4, 0.25, 0]",Green,5543,4036951
"(2.875, 3.5, 0)","(2.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,13817,4036951
"(2.5, 3.125, 0)","(2.5, 3.5, 0)","[0.4, 0.25, 0]",Green,4033,4036951
"(2.125, 3.5, 0)","(2.5, 3.5, 0)","[0.25, 0.4, 0]",Gray,728,4036951
"(2.5, 4.875, 0)","(2.5, 4.5, 0)","[0.4, 0.25, 0]",Gray,1348,4036951
"(2.875, 4.5, 0)","(2.5, 4.5, 0)","[0.25, 0.4, 0]",Green,8668,4036951
"(2.5, 4.125, 0)","(2.5, 4.5, 0)","[0.4, 0.25, 0]",Green,8937,4036951
"(2.125, 4.5, 0)","(2.5, 4.5, 0)","[0.25, 0.4, 0]",Gray,1063,4036951
"(2.5, 5.875, 0)","(2.5, 5.5, 0)","[0.4, 0.25, 0]",Green,6207,4036951
"(2.875, 5.5, 0)","(2.5, 5.5, 0)","[0.25, 0.4, 0]",Yellow,16013,4036951
"(2.5, 5.125, 0)","(2.5, 5.5, 0)","[0.4, 0.25, 0]",Gray,2274,4036951
"(2.125, 5.5, 0)","(2.5, 5.5, 0)","[0.25, 0.4, 0]",Yellow,17309,4036951
"(2.5, 6.875, 0)","(2.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,17487,4036951
"(2.875, 6.5, 0)","(2.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,14229,4036951
"(2.5, 6.125, 0)","(2.5, 6.5, 0)","[0.4, 0.25, 0]",Red,18182,4036951
"(2.125, 6.5, 0)","(2.5, 6.5, 0)","[0.25, 0.4, 0]",Red,18478,4036951
"(2.5, 7.875, 0)","(2.5, 7.5, 0)","[0.4, 0.25, 0]",Gray,289,4036951
"(2.875, 7.5, 0)","(2.5, 7.5, 0)","[0.25, 0.4, 0]",Gray,2545,4036951
"(2.5, 7.125, 0)","(2.5, 7.5, 0)","[0.4, 0.25, 0]",Green,6946,4036951
"(2.125, 7.5, 0)","(2.5, 7.5, 0)","[0.25, 0.4, 0]",Red,18206,4036951
"(2.5, 8.875, 0)","(2.5, 8.5, 0)","[0.4, 0.25, 0]",Gray,1183,4036951
"(2.875, 8.5, 0)","(2.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,14313,4036951
"(2.5, 8.125, 0)","(2.5, 8.5, 0)","[0.4, 0.25, 0]",Green,8043,4036951
"(2.125, 8.5, 0)","(2.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,11341,4036951
"(2.5, 9.875, 0)","(2.5, 9.5, 0)","[0.4, 0.25, 0]",Green,6267,4036951
"(2.875, 9.5, 0)","(2.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,15316,4036951
"(2.5, 9.125, 0)","(2.5, 9.5, 0)","[0.4, 0.25, 0]",Green,5542,4036951
"(2.125, 9.5, 0)","(2.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,15054,4036951
"(3.5, 0.875, 0)","(3.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,16793,4036951
"(3.875, 0.5, 0)","(3.5, 0.5, 0)","[0.25, 0.4, 0]",Gray,3139,4036951
"(3.5, 0.125, 0)","(3.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,16160,4036951
"(3.125, 0.5, 0)","(3.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,11910,4036951
"(3.5, 1.875, 0)","(3.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,13703,4036951
