iterations,reward
1,9236
2,21531
3,18243
4,35187
5,52464
6,949
7,12485
8,16255
9,29579
10,43602
11,60802
12,69540
13,80109
14,100088
15,105271
16,110726
17,124067
18,133514
19,152280
20,157061
21,173791
22,176785
23,192952
24,201132
25,215986
26,221679
27,241162
28,258038
29,261018
30,280180
31,285593
32,304755
33,310168
34,329330
35,340954
36,353215
37,364839
38,384659
39,394021
40,6800
41,13702
42,30432
43,37070
44,53800
45,61980
46,64960
47,73983
48,85348
49,87129
50,90745
51,14509
52,27856
53,32873
54,47430
55,55805
56,70362
57,81898
58,91701
59,93687
60,108570
61,128307
62,132606
63,146571
64,9803
65,11789
66,31520
67,47761
68,66398
69,14557
70,16959
71,17908
72,20310
73,27049
74,46626
75,47143
76,54897
77,17558
78,25819
79,43377
80,50951
81,15705
82,29352
83,40432
84,48523
85,60514
86,68088
87,18637
88,11568
89,20306
90,31874
91,35844
92,40901
93,58318
94,70197
95,79680
96,5017
97,10849
98,24173
99,33976
100,39117
101,48604
102,66640
103,78132
104,87444
105,5264
106,16004
107,20405
108,38470
109,49662
110,54423
111,73796
112,91354
113,99827
114,109310
115,17214
116,34313
117,45300
118,49780
119,65940
120,80953
121,15675
122,16938
123,30279
124,48890
125,62537
126,73617
127,81708
128,86189
129,2324
130,2674
131,12477
132,29019
133,35847
134,52007
135,67020
136,10631
137,24546
138,42066
139,53431
140,55803
141,18779
142,26553
143,37184
144,51099
145,59075
146,13647
147,24727
148,32818
149,37299
150,17099
151,28086
152,32566
153,48726
154,51071
155,67231
156,67748
157,87332
158,94376
159,113960
160,124423
161,2980
162,22142
163,33766
164,48836
165,18022
166,24021
167,4480
168,20640
169,21157
170,40741
171,51204
172,7819
173,9051
174,28401
175,30440
176,34232
177,36556
178,39022
179,48509
180,66545
181,78037
182,81555
183,93047
184,102359
185,5057
186,22474
187,34353
188,43836
189,19293
190,37835
191,49329
192,66131
193,85303
194,94699
195,108023
196,117826
197,119812
198,139543
199,155784
200,174421
201,16003
202,25399
203,38723
204,48526
205,65068
206,71896
207,88056
208,88573
209,108157
210,118620
211,3970
212,9027
213,26444
214,38323
215,47806
216,12380
217,29900
218,36351
219,55513
220,67137
221,82207
222,9362
223,6902
224,25668
225,31361
226,48440
227,67516
228,84595
229,96328
230,105690
231,11494
232,28296
233,32088
234,34412
235,36878
236,46365
237,64401
238,75893
239,85205
240,16160
241,16677
242,36261
243,46724
244,17520
245,32008
246,3970
247,9027
248,26444
249,38323
250,47806
251,5057
252,22474
253,34353
254,43836
255,10198
256,15281
257,17564
258,33731
259,41911
260,44891
261,64053
262,75677
263,90747
264,16167
265,24347
266,27327
267,46489
268,58113
269,73183
270,18036
271,29528
272,42628
273,61265
274,1263
275,14604
276,33215
277,46862
278,57942
279,66033
280,70514
281,19584
282,30047
283,17099
284,28086
285,32566
286,48726
287,49243
288,68827
289,79290
290,12051
291,18851
292,25753
293,44519
294,50212
295,67291
296,79024
297,88386
298,13347
299,18364
300,32921
301,35323
302,42062
