iterations,reward_performance
26,0.3433730769230769
30,0.3879125
33,0.6205666666666666
58,0.43452999999999997
60,0.7701499999999999
61,0.80165
66,0.45069
71,0.38678
73,0.5686249999999999
74,0.72285
77,0.6202166666666667
79,0.601175
82,0.54935
83,0.80165
90,0.49255
103,0.3813615384615385
105,0.76905
156,0.3541421568627452
161,0.80798
167,0.294075
171,0.5454625
188,0.4763911764705882
200,0.43842500000000006
201,0.9198
202,0.60365
204,0.31775
206,0.87215
208,0.511
216,0.4322125
219,0.6486999999999999
225,0.3932083333333333
234,0.48954444444444456
245,0.5475000000000001
251,0.5104833333333333
260,0.3540222222222222
263,0.7600833333333333
275,0.42165416666666666
282,0.4803571428571428
291,0.7310777777777777
295,0.5281750000000001
302,0.7432785714285715
317,0.4753766666666667
319,0.31775
329,0.360075
341,0.4546750000000001
344,0.7730166666666666
350,0.3932083333333333
354,0.7812375
358,0.5454625
368,0.4700100000000001
373,0.33442999999999995
379,0.323525
387,0.5381875
388,0.9188
392,0.5540499999999999
406,0.5257142857142857
408,0.31775
412,0.7812375
414,0.511
415,0.72285
416,0.31045
421,0.42476
423,0.6045
449,0.34939230769230767
450,0.90885
451,0.90885
456,0.42476
468,0.4456875
474,0.4440583333333334
483,0.49958888888888886
492,0.34936111111111107
496,0.5281750000000001
504,0.29590625
512,0.5381875
518,0.563525
519,0.72285
521,0.6045
526,0.4699
534,0.5158812500000001
545,0.4421727272727273
550,0.53334
557,0.6639785714285714
568,0.49201818181818185
570,0.4568
578,0.4987375
582,0.7812375
585,0.55655
587,0.31775
589,0.87215
595,0.3932083333333333
603,0.36869375
605,0.816075
606,0.87755
607,0.60365
617,0.559105
619,0.6616500000000001
621,0.523625
622,0.4804
630,0.5158812500000001
636,0.37362500000000004
645,0.4662
650,0.39005
657,0.3012357142857143
658,0.60365
661,0.5527666666666667
664,0.52905
667,0.52905
677,0.54631
682,0.4699
685,0.5527666666666667
693,0.6219
702,0.49958888888888886
706,0.488875
716,0.47802500000000003
723,0.5165000000000001
727,0.6073124999999999
737,0.559105
743,0.294075
744,0.9198
749,0.5050100000000001
759,0.43142499999999995
769,0.471025
772,0.55655
781,0.49958888888888886
784,0.5527666666666667
791,0.4371285714285714
801,0.43142499999999995
809,0.74424375
822,0.42046923076923076
832,0.5538150000000001
837,0.33442999999999995
843,0.4619
845,0.601175
857,0.46952500000000014
867,0.5538150000000001
868,0.90885
871,0.7730166666666666
879,0.5955750000000001
881,0.6616500000000001
888,0.6639785714285714
890,0.6045
898,0.5343625
906,0.5381875
909,0.6932833333333334
917,0.43718749999999995
918,0.72285
928,0.360075
931,0.7857833333333334
934,0.55655
937,0.6932833333333334
941,0.38926249999999996
943,0.6616500000000001
954,0.48101363636363637
956,0.645575
968,0.46952500000000014
974,0.7571416666666666
985,0.4661863636363636
995,0.47802500000000003
1003,0.4322125
1008,0.5050100000000001
1018,0.48936
1027,0.5375611111111112
1029,0.523625
1035,0.7571416666666666
1042,0.5635785714285715
1048,0.6313083333333332
1054,0.7571416666666666
1056,0.31775
1059,0.29855
1069,0.4767
1077,0.5955750000000001
1086,0.5057055555555556
1096,0.48936
1106,0.530645
1111,0.30568999999999996
1114,0.7857833333333334
1124,0.482585
1126,0.6045
1138,0.4819125
1140,0.8785
1142,0.76905
1148,0.3932083333333333
1151,0.35694999999999993
1152,0.4278
1164,0.46952500000000014
1168,0.60265
1171,0.7730166666666666
1177,0.5104833333333333
1180,0.5527666666666667
1184,0.350775
1192,0.29590625
1202,0.4767
1209,0.6639785714285714
1219,0.7251000000000001
1228,0.5472944444444444
1238,0.360075
1241,0.35694999999999993
1248,0.4371285714285714
1258,0.53559
1262,0.3719625
